"","V1","V2"
"1",2,2
"2",4,2
"3",1,3
"4",2,4
"5",5,5
"6",3,1
"7",3,4
"8",2,5
"9",5,5
"10",4,5
"11",1,1
"12",5,2
"13",1,4
"14",1,2
"15",2,5
"16",2,3
"17",1,2
"18",1,1
"19",5,1
"20",5,3
"21",5,5
"22",4,3
"23",4,3
"24",5,1
"25",1,5
"26",4,2
"27",2,1
"28",4,5
"29",4,1
"30",3,5
"31",3,1
"32",2,2
"33",4,1
"34",4,4
"35",2,2
"36",3,1
"37",5,3
"38",4,4
"39",3,2
"40",1,5
"41",3,3
"42",1,3
"43",5,4
"44",4,2
"45",2,4
"46",2,4
"47",3,5
"48",1,4
"49",1,3
"50",3,4
"51",3,3
"52",5,4
"53",3,3
"54",2,1
"55",5,2
