"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",10,2,2,11,3,1,10,14,10
"2",6,12,10,15,5,10,8,15,5
"3",2,15,17,6,11,2,17,16,7
"4",13,3,16,16,12,14,4,10,6
"5",15,7,12,10,16,6,14,12,4
"6",3,5,4,14,9,9,16,8,14
"7",16,17,13,13,4,8,1,1,12
"8",11,13,9,17,13,3,12,4,16
"9",14,11,3,4,10,7,7,7,8
"10",8,10,15,9,6,15,13,6,11
"11",7,4,7,7,7,4,2,5,3
"12",5,1,11,3,14,11,11,2,9
"13",1,9,1,12,17,17,6,3,1
"14",9,14,5,8,15,12,3,13,13
"15",4,8,14,2,1,5,5,11,15
"16",17,6,8,5,8,16,9,17,17
"17",12,16,6,1,2,13,15,9,2
