"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",18,16,6,4,14,26,20,8,22,27,18,4,2,22,6,11
"2",24,10,8,6,13,3,24,25,10,5,13,18,26,2,25,10
"3",2,14,28,14,15,11,1,23,28,1,28,1,28,20,14,1
"4",8,2,26,21,7,1,19,16,1,6,17,23,3,13,7,15
"5",3,19,9,20,6,5,22,9,11,15,26,10,13,21,23,22
"6",5,28,3,12,23,8,27,13,23,19,15,20,20,6,4,28
"7",9,17,23,5,10,12,8,27,9,21,19,8,16,5,8,20
"8",20,3,25,15,12,23,26,2,7,12,12,6,19,27,13,26
"9",6,6,10,17,17,18,10,11,21,4,10,5,8,4,18,19
"10",26,11,7,19,9,25,11,26,26,14,1,27,14,16,1,23
"11",15,12,5,7,24,15,7,18,4,10,23,21,5,24,20,25
"12",27,15,4,25,25,10,15,5,5,7,9,7,15,11,9,5
"13",17,25,21,10,20,2,4,6,12,3,2,15,11,23,2,17
"14",25,26,18,18,21,21,14,15,2,22,22,3,27,14,28,18
"15",11,23,11,16,18,13,25,24,6,24,6,25,9,18,12,9
"16",13,13,27,27,16,16,18,7,14,28,3,22,24,7,24,24
"17",7,18,22,8,26,24,21,19,25,9,7,12,21,15,21,13
"18",16,9,20,23,22,20,23,22,15,16,27,11,6,3,3,4
"19",14,1,2,11,5,28,3,17,13,23,8,9,12,12,26,2
"20",23,20,24,22,11,9,9,14,24,20,11,19,7,26,22,6
"21",12,27,1,26,2,19,16,28,19,2,21,16,18,28,17,12
"22",4,8,14,1,3,17,12,12,3,18,4,14,25,25,5,7
"23",21,5,12,24,27,4,5,20,18,26,16,13,23,19,11,21
"24",22,24,16,2,4,7,17,21,17,11,5,2,4,9,15,27
"25",1,22,15,28,28,27,2,1,8,17,14,28,1,1,19,14
"26",28,7,19,9,1,14,28,4,27,25,24,17,10,10,16,16
"27",19,21,13,13,8,22,6,10,16,8,25,24,22,8,10,8
"28",10,4,17,3,19,6,13,3,20,13,20,26,17,17,27,3
