"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",16,19,7,14,10,15,4,17,14,12,17,19,13
"2",1,9,11,20,19,8,11,20,20,1,16,1,10
"3",10,20,9,10,20,1,20,10,1,19,1,20,8
"4",17,2,15,6,18,4,5,19,10,13,9,9,3
"5",13,14,5,4,5,9,9,12,7,17,15,3,6
"6",18,8,2,9,16,10,18,7,18,15,14,12,17
"7",5,3,8,5,12,16,15,3,13,14,5,2,11
"8",4,15,12,7,14,6,6,5,6,7,13,16,14
"9",15,18,18,13,8,5,17,2,16,6,11,5,7
"10",3,6,3,12,7,11,16,18,4,8,8,17,5
"11",8,5,16,16,6,7,7,11,17,18,6,14,12
"12",9,16,4,17,17,18,8,8,12,3,7,11,4
"13",2,17,19,8,1,17,13,16,11,20,12,10,19
"14",7,11,1,3,9,3,2,15,15,5,2,7,18
"15",6,10,20,15,11,13,1,4,2,16,19,8,2
"16",20,12,13,1,2,14,10,6,19,9,3,18,1
"17",14,13,14,18,15,12,14,14,5,11,4,6,16
"18",11,1,6,19,3,2,12,1,8,10,20,13,20
"19",12,7,17,2,13,19,19,13,9,4,18,15,9
"20",19,4,10,11,4,20,3,9,3,2,10,4,15
