"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",9,12,16,16,15,17,18,2,4,14,7
"2",11,15,11,15,21,6,5,7,22,21,17
"3",6,10,9,22,3,24,20,14,19,22,4
"4",21,24,24,17,12,11,24,12,1,23,14
"5",12,3,21,18,9,20,4,20,20,7,9
"6",19,11,8,11,11,21,8,15,9,12,18
"7",10,4,10,6,2,7,16,17,2,8,15
"8",4,19,7,10,10,5,23,6,12,6,8
"9",3,16,22,23,23,1,10,16,6,11,12
"10",2,23,15,9,17,19,15,13,23,9,24
"11",17,14,18,14,6,3,19,23,7,1,23
"12",16,17,20,7,4,15,13,9,17,17,11
"13",22,13,6,1,22,14,21,22,21,10,10
"14",8,22,13,3,8,12,7,21,8,20,2
"15",15,18,3,5,18,23,3,11,3,2,5
"16",1,7,5,19,5,13,2,8,5,16,22
"17",20,1,1,12,7,2,11,3,24,13,1
"18",5,5,2,13,19,16,12,24,13,24,13
"19",18,6,14,20,20,10,14,10,11,5,3
"20",7,9,23,2,13,9,9,4,18,3,19
"21",14,20,4,21,14,8,17,19,16,15,20
"22",13,2,19,4,24,22,22,5,10,19,21
"23",24,8,17,8,16,4,1,18,15,18,6
"24",23,21,12,24,1,18,6,1,14,4,16
