"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",18,4,12,11,4,1,6,10,5
"2",2,15,4,7,7,2,11,5,18
"3",9,5,1,19,3,17,18,12,19
"4",15,14,7,15,1,9,8,18,14
"5",1,6,19,5,16,19,7,19,10
"6",8,17,2,10,15,7,5,13,8
"7",4,1,5,16,9,12,2,1,7
"8",10,2,15,8,10,11,10,14,16
"9",17,11,3,4,11,13,15,15,4
"10",6,12,9,3,5,15,4,9,13
"11",13,16,16,14,8,18,14,8,9
"12",5,8,10,13,12,3,17,16,12
"13",3,13,13,18,18,10,12,11,3
"14",14,3,6,2,19,5,13,7,11
"15",19,18,11,9,17,14,19,2,15
"16",7,9,17,6,2,8,16,3,6
"17",12,19,14,1,6,4,1,17,1
"18",11,7,8,12,14,16,9,4,2
"19",16,10,18,17,13,6,3,6,17
