"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",12,13,2,24,24,11,24,12,24,12,2,1,23,24,13,14,24
"2",14,9,23,8,11,13,19,11,9,1,23,9,22,3,23,2,2
"3",10,23,13,22,5,6,14,18,20,2,15,5,4,17,21,6,11
"4",23,10,8,3,18,9,10,2,10,5,3,22,2,15,24,12,14
"5",20,7,11,20,6,18,17,6,4,14,11,16,17,19,17,4,21
"6",19,14,10,1,3,2,5,21,17,10,24,12,16,1,16,19,16
"7",5,15,15,14,4,22,21,8,16,11,5,21,6,5,19,15,6
"8",7,22,21,4,14,17,7,10,22,22,13,17,20,16,20,17,18
"9",2,12,17,2,21,20,18,16,3,13,21,8,3,18,10,23,13
"10",21,11,19,18,16,19,9,19,21,8,6,7,19,8,8,9,8
"11",18,21,4,21,17,16,20,14,11,3,14,19,10,4,6,21,17
"12",9,6,14,16,19,12,2,23,8,17,10,6,8,7,22,20,22
"13",11,5,16,17,22,5,6,7,14,4,19,18,15,20,9,16,3
"14",24,24,12,13,1,15,1,17,2,15,18,24,24,12,2,13,1
"15",22,3,20,5,9,4,22,9,15,16,16,2,7,10,7,11,19
"16",6,2,6,10,12,23,13,24,23,7,20,23,12,11,12,1,23
"17",15,8,7,7,10,14,15,20,19,20,8,15,5,22,4,18,4
"18",17,18,3,12,15,21,3,4,13,18,22,3,9,21,18,8,9
"19",4,16,9,15,20,8,16,3,18,19,17,11,21,6,3,5,15
"20",13,1,24,23,2,24,12,1,12,23,1,10,13,13,1,24,12
"21",3,17,22,11,7,10,4,15,7,6,4,13,11,23,5,7,20
"22",8,20,5,6,8,7,11,5,5,9,9,4,18,9,11,22,5
"23",16,19,18,9,23,3,23,22,6,21,7,20,14,14,14,3,10
"24",1,4,1,19,13,1,8,13,1,24,12,14,1,2,15,10,7
