"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",15,20,24,19,12,15,14,2,15,22,11,14,6,23,24,12,11,3,2,1,22
"2",7,7,4,14,11,16,19,20,4,4,20,5,4,21,8,16,9,15,19,9,21
"3",11,21,21,5,10,6,9,5,7,8,22,10,18,19,10,21,6,5,14,20,3
"4",17,3,8,2,8,22,5,15,14,3,21,15,15,14,22,15,14,23,6,4,5
"5",3,23,10,17,21,4,7,19,8,6,7,22,9,11,23,10,8,7,17,6,9
"6",2,12,23,12,3,13,2,24,12,14,1,11,2,1,13,1,10,24,11,10,2
"7",10,5,19,6,17,3,18,9,5,17,15,17,10,2,7,9,3,22,4,5,14
"8",16,10,12,23,23,21,12,3,11,10,10,1,16,22,3,2,2,21,20,12,7
"9",24,24,11,1,1,24,24,1,1,13,12,23,11,6,12,17,12,14,13,14,24
"10",13,14,2,11,24,1,23,10,24,1,13,13,1,13,1,13,24,1,12,13,1
"11",22,15,5,8,13,10,20,11,6,19,3,19,22,20,16,4,15,11,21,3,4
"12",14,11,20,10,22,19,15,21,21,12,23,21,17,5,17,22,16,4,23,8,16
"13",21,16,22,15,18,14,22,14,10,2,6,6,21,8,21,19,4,18,7,17,15
"14",9,22,15,4,15,20,10,13,19,20,4,4,3,9,5,20,20,17,16,2,10
"15",6,19,9,20,6,17,17,18,22,21,19,16,19,7,6,5,5,10,8,15,6
"16",5,18,6,3,20,7,16,22,18,11,9,8,14,18,15,7,18,20,5,21,23
"17",18,17,14,18,4,5,6,8,17,5,16,9,23,4,9,8,19,16,22,7,20
"18",12,2,1,24,2,2,13,16,13,24,2,12,12,12,14,23,1,13,24,24,17
"19",1,1,13,13,14,12,1,12,23,9,14,24,24,24,2,24,13,12,1,23,13
"20",19,4,7,7,19,11,4,4,20,18,18,7,5,10,19,3,7,8,15,16,18
"21",8,8,3,16,9,23,8,7,3,16,8,3,20,3,18,11,17,2,10,22,12
"22",23,13,16,22,16,8,3,23,2,23,24,2,13,15,11,14,23,9,3,11,11
"23",4,9,18,21,7,9,21,6,16,15,17,20,7,16,20,18,21,19,18,18,8
"24",20,6,17,9,5,18,11,17,9,7,5,18,8,17,4,6,22,6,9,19,19
