"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",2,26,3,18,23,27,2,24,11,17,13,9,2,26,19,13,15,23,11,16,12,18,26,12,25,27,8
"2",21,22,19,19,17,10,22,4,4,16,11,16,5,3,4,3,9,5,12,21,25,17,9,26,2,25,11
"3",18,18,8,3,2,25,23,2,5,10,22,14,3,19,10,20,17,26,21,13,22,26,2,10,17,12,22
"4",7,7,6,22,6,22,9,8,20,5,4,8,6,11,8,12,3,18,17,23,19,7,10,24,26,6,17
"5",19,9,21,6,10,24,24,12,19,24,5,24,4,8,18,5,24,10,10,11,5,23,21,17,24,9,6
"6",4,16,18,23,21,17,26,18,3,13,26,11,26,2,21,6,26,24,22,22,7,9,17,18,11,7,21
"7",17,11,1,28,13,26,13,28,15,12,2,27,25,1,16,28,13,1,1,28,15,13,1,14,7,14,14
"8",1,15,15,2,28,13,16,3,14,2,3,15,27,28,27,16,25,13,8,2,20,15,11,28,19,16,2
"9",25,19,20,16,24,21,12,5,22,9,23,22,11,21,26,23,10,6,24,24,10,12,20,5,22,4,9
"10",9,13,16,24,25,9,10,20,23,21,19,3,7,5,22,11,12,7,5,8,26,25,4,8,20,11,24
"11",3,2,17,17,3,2,14,1,25,19,27,26,14,17,9,2,18,16,2,20,13,16,27,20,16,20,27
"12",20,20,26,21,5,20,5,9,9,25,24,7,24,12,24,22,5,17,7,6,21,21,23,19,9,19,13
"13",26,10,4,9,8,12,27,25,26,18,25,5,8,20,20,17,21,9,25,9,16,8,12,25,6,23,12
"14",15,1,13,1,15,14,1,27,2,28,15,13,13,14,28,1,1,14,28,27,14,27,15,1,28,15,16
"15",10,25,22,25,12,4,25,26,13,7,17,19,10,16,13,18,2,27,3,7,2,3,19,27,18,13,10
"16",11,12,25,11,26,19,3,16,6,26,7,21,9,24,11,19,16,11,16,25,3,2,3,23,10,21,25
"17",13,24,10,13,7,5,6,23,17,8,9,20,21,22,25,9,23,3,19,18,23,22,22,22,3,8,23
"18",8,17,2,26,4,16,8,13,7,4,18,25,18,9,3,10,19,8,26,10,4,19,13,3,13,26,4
"19",22,5,9,20,11,7,19,10,10,20,6,23,20,25,23,8,7,25,20,5,8,10,6,7,21,22,20
"20",6,8,5,8,22,3,18,7,8,22,16,18,17,6,17,24,4,12,23,17,24,5,25,11,5,10,3
"21",12,3,24,4,19,23,20,21,21,3,20,12,23,23,5,7,8,4,9,12,18,6,24,9,12,24,18
"22",23,6,23,10,18,6,11,22,12,6,21,6,19,4,6,25,22,22,18,19,11,24,5,21,23,18,5
"23",14,4,28,15,16,28,4,14,28,14,28,17,15,15,14,14,28,28,13,4,27,14,7,2,1,2,1
"24",16,27,27,27,14,8,17,11,18,27,12,2,1,27,2,26,27,15,27,15,17,11,14,13,14,3,28
"25",5,21,11,7,9,11,21,19,24,23,8,10,22,18,7,21,11,21,6,26,6,20,8,4,8,5,7
"26",28,28,12,14,27,15,28,17,27,1,1,28,16,10,15,27,6,19,15,14,28,28,16,16,15,28,19
"27",24,23,7,5,20,18,7,6,16,11,10,4,12,7,12,4,20,20,4,3,9,4,18,6,4,17,26
"28",27,14,14,12,1,1,15,15,1,15,14,1,28,13,1,15,14,2,14,1,1,1,28,15,27,1,15
