"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",16,28,10,4,7,18,17,22,22,24,29,11
"2",29,23,29,1,22,14,13,29,15,1,9,3
"3",11,11,14,6,12,3,10,4,10,28,22,2
"4",17,7,9,16,23,22,11,24,8,10,15,7
"5",8,2,28,22,20,6,18,2,2,11,28,12
"6",4,27,11,17,16,2,6,15,19,8,6,14
"7",2,22,18,14,24,28,28,7,18,21,26,4
"8",15,26,5,25,28,11,24,10,11,6,21,9
"9",1,15,8,29,8,4,29,23,5,2,13,22
"10",24,3,13,27,21,26,20,14,14,26,8,24
"11",10,12,15,20,26,19,14,6,24,3,2,20
"12",18,20,27,19,4,5,12,9,17,23,14,23
"13",25,14,3,9,25,7,8,19,16,15,27,21
"14",5,5,16,24,2,15,5,28,12,19,24,18
"15",23,4,17,12,5,8,21,16,25,4,19,5
"16",22,21,12,10,18,16,25,3,4,18,12,17
"17",26,25,20,28,9,23,9,5,28,13,17,13
"18",12,16,21,26,19,10,2,20,23,20,11,6
"19",9,18,2,18,14,25,22,27,26,29,20,16
"20",20,6,23,5,29,1,27,25,29,22,5,15
"21",27,10,25,21,13,17,26,21,20,9,23,28
"22",14,1,4,8,3,24,1,1,21,7,10,29
"23",7,29,24,11,27,20,7,17,3,27,18,27
"24",19,17,22,3,15,27,4,12,7,5,25,19
"25",3,8,7,2,17,12,16,11,27,17,16,26
"26",21,19,6,23,1,29,15,18,1,16,1,1
"27",28,9,1,15,10,13,3,8,6,25,4,10
"28",13,24,19,13,11,9,19,26,9,12,3,25
"29",6,13,26,7,6,21,23,13,13,14,7,8
