"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",14,7,2,4,3,23,23,14,23,15,14,16,24,16,18,20,12,15,15,23
"2",8,3,19,14,5,9,16,22,5,22,21,17,14,17,4,5,11,9,22,18
"3",16,19,20,5,8,22,8,7,10,9,22,4,6,15,16,4,16,20,20,10
"4",6,14,12,8,16,20,22,21,2,11,8,20,7,22,3,13,23,21,14,5
"5",5,20,8,22,15,16,20,9,16,6,18,21,17,7,19,6,19,8,17,19
"6",17,5,5,9,6,8,19,17,17,4,11,6,4,11,8,7,18,5,7,3
"7",23,12,24,24,13,1,24,12,24,13,24,1,12,13,1,11,1,1,13,13
"8",20,9,17,10,11,10,2,23,15,3,9,22,23,3,15,10,2,19,19,15
"9",22,1,11,16,2,14,13,10,3,12,2,3,21,8,22,15,24,12,23,6
"10",12,10,14,23,24,24,1,15,13,23,1,24,15,14,11,1,17,13,3,2
"11",13,16,3,2,12,13,12,6,4,7,3,14,22,21,6,2,3,3,4,16
"12",21,18,15,6,18,6,3,19,7,16,16,9,16,18,20,14,21,6,6,21
"13",3,21,21,7,10,19,17,20,20,20,6,5,18,9,13,17,6,10,2,11
"14",24,23,10,21,1,11,21,1,12,24,13,12,1,23,14,12,13,24,1,14
"15",19,17,7,20,7,17,5,16,6,17,19,19,5,4,7,21,5,11,11,9
"16",2,11,6,3,22,5,14,11,9,19,20,8,20,2,10,9,10,23,16,4
"17",10,2,18,1,14,2,15,2,11,14,7,23,3,1,21,22,15,7,10,12
"18",4,8,22,19,9,7,7,3,18,8,17,15,19,20,9,19,22,16,8,7
"19",7,15,13,18,4,4,9,18,22,10,4,11,8,6,23,3,9,22,9,22
"20",1,13,23,12,23,15,6,13,1,1,12,13,2,10,12,24,14,2,24,24
"21",18,22,4,11,20,3,10,8,19,21,5,18,10,12,5,18,20,18,21,17
"22",15,6,16,17,21,21,18,5,8,5,15,7,11,5,2,16,7,17,5,20
"23",11,24,1,13,17,12,11,24,14,2,23,2,13,24,24,23,8,14,12,1
"24",9,4,9,15,19,18,4,4,21,18,10,10,9,19,17,8,4,4,18,8
