"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",18,19,26,3,28,19,1,16,14,6,22,10,2,12,4,13,2
"2",27,6,7,23,15,14,12,14,2,23,27,19,13,10,7,6,6
"3",25,30,9,1,11,5,13,29,29,15,15,3,30,18,29,11,5
"4",21,21,14,11,18,6,4,25,4,2,12,26,8,5,18,2,19
"5",2,10,29,20,12,23,8,11,17,1,30,2,29,16,16,1,18
"6",17,8,10,29,10,21,5,7,13,26,10,25,3,28,25,15,14
"7",16,26,11,22,27,9,9,10,20,11,25,23,19,13,27,25,26
"8",22,2,25,17,7,27,15,30,19,7,9,24,18,7,3,19,11
"9",19,28,28,16,16,2,24,2,7,30,29,29,22,27,14,16,1
"10",15,1,16,6,30,30,30,15,1,29,1,1,14,14,30,30,16
"11",6,3,2,14,19,16,3,3,24,19,14,11,21,6,19,28,3
"12",30,16,30,10,1,1,11,13,22,21,2,17,1,1,23,20,29
"13",8,18,3,15,5,28,14,1,3,5,21,15,12,22,28,12,23
"14",26,12,6,5,24,11,17,12,9,4,7,13,24,24,17,23,12
"15",13,13,13,26,9,3,27,8,27,3,20,7,10,3,10,22,10
"16",24,5,18,13,17,17,22,21,23,9,26,5,7,26,22,18,24
"17",7,29,4,21,22,10,16,22,15,28,5,4,4,8,9,17,21
"18",5,20,17,27,13,20,23,23,5,10,3,18,27,11,24,21,4
"19",12,9,8,8,23,25,28,28,12,17,24,21,28,2,12,14,28
"20",20,22,12,12,8,18,26,6,21,24,8,12,25,15,5,4,25
"21",28,25,22,28,25,24,19,4,10,18,17,6,17,4,21,8,17
"22",29,23,5,19,2,22,29,19,16,14,18,28,6,19,15,29,8
"23",3,7,24,2,14,7,20,5,6,16,16,22,5,17,6,26,22
"24",11,11,27,18,26,8,25,26,18,22,13,14,11,21,26,5,9
"25",1,15,1,30,29,15,21,17,30,8,11,30,16,30,1,3,30
"26",9,14,21,4,4,12,18,18,26,27,23,27,23,9,20,10,15
"27",23,17,23,25,21,29,6,24,28,25,19,16,26,23,8,27,20
"28",14,4,20,24,3,4,2,20,8,13,6,9,20,20,13,9,27
"29",10,27,19,7,20,26,10,9,25,12,4,20,9,25,11,7,7
"30",4,24,15,9,6,13,7,27,11,20,28,8,15,29,2,24,13
