"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",29,2,4,29,21,25,1,15,13,29,5
"2",17,17,6,3,4,24,19,24,14,2,19
"3",2,5,18,18,19,1,20,27,26,3,3
"4",23,21,8,6,20,30,13,1,2,21,30
"5",27,28,13,10,24,10,23,29,17,27,22
"6",10,26,5,17,16,14,2,7,20,4,26
"7",14,1,1,12,27,5,15,22,5,13,25
"8",16,30,21,15,3,23,14,2,28,28,11
"9",15,13,24,28,18,4,24,3,15,17,20
"10",6,24,22,5,22,12,16,16,12,8,9
"11",8,3,11,9,7,19,27,4,10,11,1
"12",5,11,28,21,2,29,4,28,11,16,28
"13",21,8,27,13,26,28,28,12,21,5,12
"14",30,23,30,8,5,2,7,10,25,9,18
"15",3,29,14,25,14,27,21,11,6,14,17
"16",24,27,26,27,11,17,12,23,18,12,2
"17",28,15,20,16,9,21,25,20,4,7,24
"18",20,25,9,19,1,3,29,18,8,19,7
"19",26,10,2,4,13,13,22,6,27,15,8
"20",22,4,16,24,6,11,17,14,22,22,27
"21",19,6,23,7,15,15,3,25,7,24,16
"22",12,16,29,20,25,16,18,9,3,26,4
"23",25,19,17,23,29,8,5,5,9,1,14
"24",4,14,7,14,10,6,11,13,16,25,13
"25",1,7,19,2,30,22,9,8,19,20,23
"26",18,12,10,22,23,18,10,17,29,10,21
"27",11,9,12,30,8,9,8,30,1,6,10
"28",13,18,15,11,17,26,6,21,23,18,6
"29",9,20,25,1,12,7,30,19,30,30,29
"30",7,22,3,26,28,20,26,26,24,23,15
