"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1",15,2,17,7,12,16,12,16,17,15,3,5,3,5,11,24,26,12,19,10,26,2,26,2,19,2
"2",24,19,8,9,9,21,4,9,21,24,4,23,22,19,23,20,20,18,20,4,12,6,19,19,7,16
"3",19,20,2,2,26,8,16,26,9,18,2,24,1,3,15,18,13,24,2,16,18,17,16,16,16,25
"4",21,8,19,4,5,20,8,6,6,7,22,17,17,6,12,6,10,23,5,6,9,9,8,18,22,4
"5",1,13,13,26,2,25,14,15,26,13,13,1,27,14,14,26,14,16,1,2,1,26,1,14,14,26
"6",26,27,1,15,14,1,27,14,14,1,20,27,13,26,13,14,15,14,15,1,11,27,14,1,27,1
"7",22,4,20,23,3,5,22,5,20,8,23,10,7,17,10,22,18,22,21,19,19,18,18,11,5,20
"8",10,7,25,17,7,4,5,23,25,23,18,21,12,7,5,17,24,10,6,13,8,24,20,24,17,17
"9",11,10,7,21,10,17,24,11,23,3,5,26,10,16,21,4,9,3,4,20,25,16,23,17,20,8
"10",13,25,12,13,13,7,2,2,27,17,1,11,16,15,2,16,5,26,26,15,2,15,3,9,25,7
"11",7,12,22,3,23,3,23,13,10,10,10,16,25,23,7,19,8,17,22,25,4,3,22,20,18,11
"12",16,22,21,20,6,6,20,18,3,25,6,9,6,21,22,5,7,15,8,9,7,5,10,4,13,21
"13",20,3,4,11,16,23,3,10,7,9,8,3,2,18,6,11,6,11,12,23,16,25,5,25,12,19
"14",4,6,6,22,18,12,21,7,4,22,11,22,20,9,8,13,19,8,23,8,20,7,7,7,23,24
"15",5,9,10,10,21,10,9,4,8,20,17,6,5,25,19,23,11,4,7,5,10,19,21,8,3,9
"16",2,26,24,14,1,26,13,8,12,14,12,13,4,1,26,1,16,5,27,18,14,11,17,27,26,15
"17",27,1,14,27,27,13,1,27,1,2,14,15,15,12,27,27,1,1,16,14,13,1,15,13,15,13
"18",8,17,5,12,11,2,25,20,5,11,16,8,18,8,24,25,22,20,9,17,22,10,4,23,6,5
"19",17,21,18,18,24,22,19,3,18,5,9,20,19,4,17,21,25,7,10,24,6,21,6,5,10,10
"20",14,14,15,1,8,27,15,12,2,27,27,14,14,27,1,15,27,2,13,27,27,14,13,15,1,27
"21",9,23,16,6,25,9,6,17,22,4,25,7,23,20,18,8,17,6,18,11,21,20,9,22,21,22
"22",12,15,27,25,15,14,26,1,15,26,26,2,26,2,16,12,2,27,14,7,15,13,27,26,11,14
"23",25,16,9,16,22,15,17,24,24,21,24,4,8,10,9,3,12,9,25,26,5,8,12,21,8,3
"24",23,11,26,5,4,11,11,21,13,19,15,25,21,13,20,9,4,13,24,21,24,22,2,3,2,12
"25",18,5,3,19,20,19,10,22,16,16,19,12,24,24,25,7,23,21,11,22,3,12,25,10,24,23
"26",6,18,23,24,17,18,7,25,11,12,7,18,9,22,4,2,21,25,17,3,23,23,11,12,9,6
"27",3,24,11,8,19,24,18,19,19,6,21,19,11,11,3,10,3,19,3,12,17,4,24,6,4,18
