"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",26,7,17,21,6,16,17,19,6,25,8,25,5,1,15,5,10,17,9
"2",7,24,16,7,17,21,24,23,9,8,9,8,9,6,5,11,2,12,19
"3",20,23,23,22,12,23,10,3,21,20,6,6,18,15,3,23,9,19,12
"4",11,20,9,23,22,9,5,8,12,12,5,18,22,5,20,7,6,6,8
"5",16,6,6,9,8,8,4,6,20,19,10,9,6,7,11,9,19,24,22
"6",4,5,21,16,24,20,3,13,23,21,22,11,7,19,17,15,3,11,4
"7",6,21,19,2,10,17,8,12,17,6,23,24,21,25,12,6,12,21,24
"8",9,25,4,18,3,19,16,24,22,18,21,17,26,4,23,17,21,18,16
"9",19,3,12,10,13,24,26,10,10,26,26,16,20,8,19,21,11,2,25
"10",21,19,26,24,2,13,2,16,2,3,18,7,11,9,25,13,15,10,26
"11",12,16,22,15,7,4,23,4,7,11,17,19,4,21,22,22,4,23,18
"12",22,9,20,19,21,7,19,22,19,7,7,10,23,24,16,19,18,7,21
"13",14,22,2,25,26,15,21,11,15,24,12,23,8,18,9,26,25,9,23
"14",5,11,5,3,5,22,13,14,13,5,4,3,3,17,21,24,17,5,11
"15",10,15,27,1,27,10,27,27,27,27,1,13,14,14,18,1,14,27,14
"16",27,1,8,8,16,11,6,18,26,10,13,26,17,16,26,27,1,16,17
"17",23,14,25,13,19,26,12,9,25,9,19,20,2,3,7,3,23,4,15
"18",18,17,7,12,4,12,22,20,18,17,20,4,16,23,6,4,5,3,5
"19",2,2,14,14,1,14,14,2,1,14,2,14,24,20,2,2,27,13,27
"20",15,4,1,27,14,1,9,26,14,1,27,15,1,27,1,12,8,14,13
"21",8,10,24,5,9,6,7,21,8,22,15,21,19,11,4,18,24,8,7
"22",13,8,18,26,15,27,25,15,16,13,14,1,27,13,27,8,26,25,1
"23",24,12,3,6,25,18,18,5,4,4,16,12,25,12,10,16,7,22,6
"24",25,26,15,4,20,5,15,7,11,23,25,5,12,22,24,10,22,15,10
"25",17,18,10,11,18,25,1,25,3,15,3,22,10,26,14,20,20,20,2
"26",1,27,13,17,11,2,20,1,24,2,11,27,13,10,13,14,16,1,3
"27",3,13,11,20,23,3,11,17,5,16,24,2,15,2,8,25,13,26,20
