"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",20,22,10,20,5,8,23,7,23,3,10,10,19,4,4,26,13,20,7,8,8,23,13
"2",9,15,28,27,27,15,27,14,28,15,28,1,1,16,2,28,12,14,15,28,15,15,1
"3",25,19,18,23,19,21,5,3,8,23,20,8,16,20,8,21,11,3,19,20,4,21,23
"4",16,23,15,11,14,23,1,2,22,2,26,27,12,14,15,10,1,27,16,1,14,1,3
"5",5,16,20,19,17,25,10,19,13,4,18,4,22,25,3,4,24,22,10,6,23,10,20
"6",21,10,4,10,13,27,24,20,11,1,1,11,27,17,26,3,14,2,18,25,12,17,11
"7",8,17,24,4,8,9,17,8,21,25,9,6,11,22,21,7,20,5,20,4,5,12,7
"8",28,28,1,28,28,1,15,13,1,27,13,14,14,28,14,1,16,28,14,15,17,2,14
"9",24,5,26,7,11,20,25,10,19,10,12,13,8,23,18,22,7,23,8,21,24,7,24
"10",11,12,5,3,21,17,26,5,3,5,17,20,5,3,10,11,23,19,21,18,2,11,18
"11",2,18,3,25,9,26,4,12,27,8,2,16,9,11,19,17,18,12,24,11,22,26,21
"12",15,3,12,17,16,3,18,1,6,16,5,3,3,13,16,2,9,18,27,5,27,19,26
"13",22,4,9,18,6,10,11,17,24,18,25,23,10,6,5,5,21,4,17,22,18,9,25
"14",26,2,25,21,12,11,3,26,2,11,16,17,23,9,27,16,17,17,13,3,1,13,2
"15",14,27,11,2,2,19,12,27,14,12,27,12,13,27,28,27,28,15,28,14,9,16,28
"16",10,20,16,9,3,5,6,25,4,9,11,19,6,24,6,9,8,10,11,26,20,22,10
"17",6,8,6,22,7,18,19,22,9,19,7,22,17,21,7,19,5,24,23,10,11,6,4
"18",19,25,22,5,20,16,8,21,25,21,3,9,24,5,9,12,10,16,26,17,25,5,9
"19",13,11,27,26,4,24,14,6,10,24,24,21,20,2,23,8,3,13,6,16,26,18,12
"20",23,7,21,6,25,4,16,11,12,6,23,24,21,18,12,23,22,11,25,9,19,24,6
"21",27,13,17,12,1,28,13,16,15,17,8,2,2,7,13,15,26,26,2,19,3,27,5
"22",18,9,7,24,23,7,9,23,20,7,22,5,4,19,22,13,6,9,4,12,6,4,16
"23",4,26,8,15,10,13,20,4,5,13,21,7,25,12,17,20,25,7,5,24,21,3,8
"24",12,6,13,16,22,12,7,9,26,26,4,26,26,26,20,18,27,21,12,27,10,20,17
"25",3,24,23,14,24,6,21,18,18,14,19,18,18,10,25,6,4,25,22,23,7,25,22
"26",1,1,14,1,15,14,28,28,17,28,15,28,15,15,1,14,15,1,1,13,28,28,15
"27",7,14,2,8,18,2,2,15,16,20,14,15,28,1,11,24,2,6,3,2,13,14,27
"28",17,21,19,13,26,22,22,24,7,22,6,25,7,8,24,25,19,8,9,7,16,8,19
