"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",6,13,13,6,10,12,11,4,4,5,9,10,4
"2",8,7,12,14,1,1,13,2,12,7,2,7,7
"3",11,9,10,10,11,13,2,13,7,12,3,11,9
"4",12,4,4,3,4,10,10,10,9,6,4,13,3
"5",9,12,5,5,12,4,12,11,10,9,11,5,11
"6",1,5,1,8,9,11,14,7,14,13,7,1,8
"7",13,2,6,7,14,2,3,6,2,3,6,6,6
"8",5,11,3,9,6,6,4,3,11,2,5,12,12
"9",2,14,9,2,7,5,1,8,6,8,1,3,1
"10",4,3,11,11,5,3,9,9,3,10,10,14,10
"11",3,6,8,12,13,8,6,12,13,4,13,9,2
"12",14,1,14,4,8,7,7,1,8,14,14,8,14
"13",10,10,2,13,3,9,5,5,5,11,12,4,5
"14",7,8,7,1,2,14,8,14,1,1,8,2,13
