"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",1,14,1,27,2,1,15,15,16,14,28,14,27,1,14,1,13,28,1,20
"2",12,17,7,20,23,21,25,16,3,20,13,2,1,27,7,27,18,24,11,16
"3",2,1,2,15,14,2,28,2,27,2,7,1,13,16,15,14,27,15,12,9
"4",11,16,24,16,22,6,12,10,24,22,3,27,16,4,19,25,22,4,27,18
"5",18,11,26,23,5,18,20,3,26,8,15,25,4,23,20,9,12,19,20,21
"6",6,23,16,17,9,20,21,17,18,5,10,6,26,11,10,19,4,3,22,25
"7",4,7,21,7,21,13,11,6,5,12,8,9,11,5,3,8,6,22,14,22
"8",19,12,5,8,24,17,17,4,25,19,23,21,25,10,8,20,5,12,7,4
"9",13,28,12,28,28,10,14,14,1,1,18,28,15,13,28,15,1,27,18,1
"10",26,22,27,9,25,3,16,25,10,15,11,4,23,26,18,12,9,17,25,7
"11",28,5,13,14,26,19,13,18,21,17,20,7,8,21,26,10,26,2,4,23
"12",15,27,28,10,1,15,1,28,28,28,14,10,14,14,1,28,15,14,2,27
"13",22,20,8,19,8,8,9,22,22,11,6,12,7,8,25,23,7,21,9,11
"14",8,10,23,25,18,25,27,23,17,26,24,8,9,3,23,17,10,13,16,5
"15",5,24,20,21,13,11,7,19,23,21,21,20,24,22,5,7,24,20,15,8
"16",21,19,19,22,19,14,2,5,9,4,27,3,21,12,22,4,17,6,8,15
"17",7,8,10,18,27,16,4,26,13,9,4,19,2,17,11,2,14,9,28,3
"18",14,15,14,1,17,28,3,1,14,13,1,15,28,28,27,21,28,18,17,28
"19",16,18,25,2,10,5,26,13,11,10,16,16,3,7,6,11,25,1,6,2
"20",9,3,22,13,7,27,10,12,2,7,19,17,20,25,16,26,8,8,5,10
"21",27,26,18,12,16,26,22,9,15,25,2,23,6,15,13,3,2,23,3,13
"22",23,4,17,4,20,7,24,24,19,6,26,18,17,19,9,24,16,25,19,19
"23",3,25,11,5,3,12,19,7,6,18,25,11,5,18,21,22,21,11,24,12
"24",17,6,9,3,6,23,6,11,20,23,12,5,18,9,17,5,19,26,21,6
"25",25,9,6,24,12,4,5,8,12,27,17,13,12,24,4,18,3,5,23,17
"26",24,2,15,26,4,22,18,27,7,16,5,26,22,6,2,16,23,10,13,14
"27",20,21,3,11,15,24,8,20,4,3,22,22,10,2,12,13,20,16,26,24
"28",10,13,4,6,11,9,23,21,8,24,9,24,19,20,24,6,11,7,10,26
