"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",3,6,12,17,7,5,6,9,18,2,6,15,15,7,7
"2",1,20,10,19,19,7,10,20,7,20,20,11,1,12,10
"3",11,1,11,9,2,11,20,11,10,1,1,20,2,20,20
"4",6,3,4,7,13,18,12,16,13,8,18,17,18,14,6
"5",5,14,7,6,12,16,4,5,6,7,5,12,3,4,14
"6",4,10,5,10,11,1,1,12,1,19,11,1,10,19,1
"7",2,7,16,2,18,19,19,7,19,14,12,10,9,10,19
"8",10,12,1,20,1,20,11,19,20,11,3,3,12,1,11
"9",12,4,2,3,6,6,9,3,8,18,8,6,19,11,16
"10",13,19,15,4,3,15,7,13,3,16,13,19,13,6,8
"11",15,18,8,14,8,14,3,8,17,12,19,9,17,18,18
"12",20,17,9,1,17,10,15,10,12,3,10,2,20,3,3
"13",8,16,14,8,4,3,13,4,16,6,14,4,6,15,9
"14",14,15,6,13,14,4,17,15,15,15,7,18,7,8,15
"15",7,11,18,12,10,8,18,18,4,4,17,7,16,5,17
"16",17,8,3,18,5,12,16,6,2,9,16,13,5,9,2
"17",18,2,20,11,20,2,2,1,11,10,15,16,11,2,12
"18",16,5,13,16,16,17,8,14,5,5,9,5,8,16,13
"19",19,9,19,5,9,9,5,17,14,13,2,8,4,13,5
"20",9,13,17,15,15,13,14,2,9,17,4,14,14,17,4
