"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",29,28,9,19,7,13,20,15,28,11,28,17,5,1
"2",8,13,10,11,23,15,21,19,9,8,7,23,19,11
"3",12,19,22,25,10,17,9,8,22,19,18,21,20,5
"4",17,2,11,22,25,16,3,25,26,10,19,5,17,25
"5",19,3,18,23,29,24,22,5,8,21,3,15,11,2
"6",13,11,21,2,14,8,15,27,5,7,24,9,9,3
"7",11,26,8,8,13,20,5,24,17,22,2,14,8,17
"8",7,8,13,18,18,12,6,3,4,27,26,18,29,21
"9",16,25,20,4,21,26,14,13,27,4,8,19,28,23
"10",10,15,1,29,15,1,29,1,29,1,1,1,22,6
"11",1,4,4,5,8,25,7,16,2,15,13,11,21,7
"12",22,7,27,6,19,11,27,23,24,26,14,20,7,9
"13",28,10,17,1,3,14,1,11,16,29,5,29,18,29
"14",14,18,14,17,9,28,28,26,1,18,11,26,1,27
"15",3,27,23,27,17,9,23,17,11,24,10,8,16,26
"16",25,9,15,26,12,23,26,18,18,6,23,13,24,18
"17",27,21,5,15,24,22,18,29,15,28,16,7,27,4
"18",6,14,19,14,1,27,12,20,25,25,27,2,13,12
"19",23,12,7,13,11,4,16,4,23,17,9,10,14,22
"20",18,24,12,7,4,7,25,9,6,20,20,4,25,14
"21",20,17,29,9,28,2,8,21,12,16,29,16,23,28
"22",9,6,28,10,6,21,19,7,13,3,17,6,4,24
"23",4,1,25,20,5,5,17,28,20,12,4,24,26,15
"24",24,29,24,12,16,29,4,2,10,9,21,27,15,10
"25",2,20,2,3,26,19,24,6,21,14,25,25,10,19
"26",15,5,6,28,22,3,13,14,14,23,22,28,3,13
"27",21,23,3,24,2,10,11,22,7,2,15,22,12,20
"28",5,22,16,16,27,6,2,10,19,5,12,12,2,8
"29",26,16,26,21,20,18,10,12,3,13,6,3,6,16
