"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",16,1,1,14,2,18,13,14,1,10,1,1,15,26,27,15,11,1
"2",27,26,13,9,19,1,26,15,26,1,2,12,14,13,2,2,14,9
"3",11,20,23,4,20,13,15,5,19,12,8,5,19,3,17,7,2,3
"4",9,19,26,13,13,26,27,25,2,16,18,14,1,23,20,1,4,13
"5",6,22,10,19,8,7,8,16,3,22,14,24,25,6,9,5,12,4
"6",7,23,11,20,12,21,22,11,18,6,10,9,24,20,23,21,19,21
"7",23,25,18,15,26,19,23,2,10,21,13,27,7,19,13,16,25,2
"8",5,10,16,2,7,23,4,3,7,2,5,23,13,15,16,23,7,12
"9",12,13,20,12,3,2,9,6,16,5,12,18,4,25,4,6,20,26
"10",22,5,9,22,17,5,11,20,20,11,11,19,3,18,18,25,5,5
"11",1,14,14,27,27,12,14,27,14,26,3,16,27,27,1,17,1,18
"12",21,24,17,25,10,16,3,18,12,8,25,2,9,14,8,8,3,20
"13",2,15,2,17,21,27,17,17,23,4,22,26,8,2,15,14,9,25
"14",4,8,24,18,6,6,20,21,24,19,6,3,12,16,12,11,24,16
"15",3,6,12,11,14,15,2,9,17,27,26,11,2,7,26,13,26,6
"16",20,18,5,7,9,24,12,23,15,20,7,8,6,4,6,20,18,11
"17",19,12,4,26,15,11,24,7,5,13,4,21,10,5,21,4,23,19
"18",26,2,27,16,11,8,16,1,11,7,27,13,26,1,11,26,17,14
"19",15,16,19,21,25,3,7,24,6,3,19,6,17,9,22,18,22,10
"20",25,7,25,10,23,22,6,19,13,18,9,20,23,11,24,9,13,23
"21",14,27,3,1,1,14,1,26,27,14,15,15,22,12,14,27,27,27
"22",24,17,7,8,5,4,18,8,8,25,20,10,18,17,19,12,6,24
"23",13,3,6,24,22,25,5,4,21,24,17,7,16,21,10,3,15,15
"24",18,11,21,23,4,20,25,10,22,17,21,17,20,8,3,19,8,7
"25",17,21,22,3,16,9,10,13,25,23,24,25,11,24,25,22,16,17
"26",8,4,15,6,24,10,21,12,4,15,16,4,5,10,5,24,10,22
"27",10,9,8,5,18,17,19,22,9,9,23,22,21,22,7,10,21,8
