"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",12,10,3,15,16,9,15,3,11,16,2,16,16,9,13
"2",10,1,10,10,18,1,9,1,1,11,9,1,1,18,11
"3",13,4,11,11,3,13,2,12,14,14,15,5,14,5,12
"4",6,2,16,7,6,12,14,6,12,5,7,14,3,6,15
"5",11,12,4,14,2,16,8,8,4,4,17,12,7,16,16
"6",5,16,8,8,12,15,3,7,16,12,5,15,13,17,6
"7",2,18,9,2,1,3,10,11,9,10,1,10,17,2,18
"8",14,14,15,13,14,8,4,10,6,6,3,7,2,4,5
"9",4,11,2,6,15,5,5,13,15,2,11,4,6,10,14
"10",18,8,18,1,10,18,1,2,8,1,10,9,18,12,10
"11",15,13,7,4,5,6,13,4,13,13,14,8,4,13,3
"12",1,7,1,9,11,11,18,5,5,9,18,2,11,3,2
"13",17,17,13,16,9,10,16,18,17,8,8,3,10,15,17
"14",16,6,5,5,4,7,6,17,2,7,6,17,12,8,8
"15",8,15,14,3,17,14,17,15,3,15,13,11,8,7,9
"16",7,5,12,12,13,4,12,16,10,3,16,13,15,14,4
"17",3,3,6,17,8,17,11,14,7,17,4,6,5,11,7
"18",9,9,17,18,7,2,7,9,18,18,12,18,9,1,1
