"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",17,4,16,17,15,14,10,10,17,5,3,18,19,5,14,19,7,4,5,19,3
"2",1,11,1,12,11,11,23,23,12,19,2,23,15,14,12,23,13,23,1,1,10
"3",4,10,15,13,10,3,5,6,15,3,10,4,20,10,8,4,3,21,18,9,22
"4",6,3,17,8,8,21,20,7,4,14,15,5,18,15,3,17,18,7,4,15,15
"5",13,13,22,23,3,2,15,17,14,12,9,1,14,9,22,14,22,3,22,23,11
"6",7,18,19,6,20,7,11,3,7,18,19,20,21,6,19,16,11,15,20,10,8
"7",11,19,23,11,13,22,3,11,22,11,20,9,12,2,10,8,23,17,3,2,2
"8",16,2,12,1,12,16,13,22,2,1,22,2,11,1,23,1,10,22,12,12,12
"9",18,21,9,22,14,9,4,20,6,4,16,16,17,11,5,21,19,10,16,4,16
"10",9,22,7,21,9,4,18,8,13,7,21,10,5,17,17,20,4,18,8,16,9
"11",2,17,21,19,21,13,7,21,9,16,13,7,10,21,6,2,6,5,10,17,7
"12",10,12,13,2,16,10,22,1,16,2,12,22,2,22,2,11,21,13,13,21,1
"13",5,6,5,18,17,18,14,16,18,17,17,13,6,4,7,15,16,20,19,20,19
"14",23,1,10,10,1,12,1,12,11,22,23,11,23,23,11,12,1,12,23,22,13
"15",12,23,11,15,23,1,12,13,1,23,1,12,1,12,1,10,12,1,2,11,23
"16",19,5,6,14,19,5,17,9,20,20,14,6,16,18,21,5,15,9,14,5,4
"17",15,7,18,20,6,15,8,4,8,21,8,17,8,20,18,9,20,19,7,6,18
"18",8,20,8,9,5,19,9,19,21,10,5,21,22,16,20,3,14,11,11,18,20
"19",21,16,3,16,4,17,21,5,3,9,7,15,13,8,4,6,9,16,21,14,5
"20",14,9,2,3,22,23,2,2,23,13,11,14,9,13,16,22,2,2,15,13,14
"21",20,15,20,7,18,20,16,14,10,8,4,3,4,19,13,18,8,14,17,3,21
"22",3,8,4,5,2,8,6,15,5,6,6,8,3,3,15,13,17,8,9,8,6
"23",22,14,14,4,7,6,19,18,19,15,18,19,7,7,9,7,5,6,6,7,17
