"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",8,15,17,8,8,17,18,17,5,9,19,20,20,10,18,6,20,16,20,7,7,20
"2",12,2,12,2,23,1,12,12,1,12,12,23,12,23,2,1,23,22,11,14,1,11
"3",21,19,5,7,17,19,7,6,4,6,6,9,14,8,15,21,9,18,6,8,3,8
"4",22,12,6,20,10,13,1,11,13,23,22,19,11,12,14,3,2,1,12,21,2,22
"5",19,9,15,18,2,18,10,8,3,20,7,15,3,5,7,8,22,8,16,5,14,5
"6",7,17,4,11,3,3,21,10,6,3,5,11,10,17,22,10,17,2,15,20,20,10
"7",16,6,20,14,13,7,17,3,17,8,14,3,8,7,17,5,18,4,5,15,5,3
"8",18,18,9,3,4,5,8,19,18,17,15,8,4,3,16,15,15,21,17,18,9,18
"9",17,22,22,4,20,10,22,15,10,11,4,4,2,11,12,2,3,11,13,2,17,16
"10",15,4,16,17,9,6,5,21,8,16,3,21,19,9,21,16,5,15,7,17,18,9
"11",1,23,14,22,15,22,19,7,22,13,11,22,9,6,13,17,13,13,22,22,23,12
"12",13,11,23,1,1,23,13,23,11,2,23,13,13,13,10,23,14,12,1,23,13,1
"13",14,21,18,19,18,4,6,13,20,7,20,14,18,16,3,14,10,3,18,3,8,7
"14",10,16,21,10,14,8,3,9,16,22,9,17,6,18,5,20,19,17,3,9,19,21
"15",6,10,11,21,22,16,4,20,15,4,10,7,7,19,19,4,7,19,21,12,15,4
"16",4,7,19,6,7,15,9,4,9,14,8,6,15,20,6,18,4,5,19,19,6,17
"17",9,13,1,23,11,11,11,2,2,15,21,1,1,22,23,13,11,14,2,1,10,13
"18",3,8,3,15,19,2,16,18,7,5,16,18,5,4,8,19,6,7,9,10,11,19
"19",23,1,13,12,12,12,23,1,12,1,1,12,23,1,1,12,12,23,23,11,12,23
"20",2,5,7,5,5,9,20,5,19,18,17,16,16,15,11,7,8,20,8,4,16,6
"21",11,14,2,9,6,20,2,14,23,10,13,2,21,2,4,11,1,10,10,13,22,2
"22",5,20,8,16,21,14,14,22,21,19,2,10,22,14,9,9,21,9,4,16,4,15
"23",20,3,10,13,16,21,15,16,14,21,18,5,17,21,20,22,16,6,14,6,21,14
