"","V1","V2"
"1",4,2
"2",1,3
"3",3,4
"4",4,3
"5",3,4
"6",2,1
"7",1,1
"8",1,1
"9",3,2
"10",4,1
"11",2,1
"12",2,2
"13",4,1
"14",3,3
"15",4,2
"16",1,2
"17",2,4
"18",4,4
"19",3,1
"20",1,4
"21",3,1
"22",1,4
"23",4,4
"24",3,2
"25",2,3
"26",2,3
"27",2,4
"28",1,3
"29",3,3
"30",2,3
"31",1,4
"32",2,4
"33",1,2
"34",2,3
"35",4,3
"36",3,1
"37",3,4
"38",1,2
"39",3,1
"40",2,1
"41",4,1
"42",2,2
"43",4,3
"44",3,2
"45",1,3
"46",4,2
"47",1,2
"48",2,2
"49",4,3
"50",1,1
"51",3,4
"52",4,4
