"","V1","V2","V3"
"1",1,3,1
"2",3,4,1
"3",1,3,3
"4",1,1,3
"5",3,4,3
"6",2,4,3
"7",3,2,3
"8",1,2,2
"9",1,2,1
"10",1,4,4
"11",2,1,2
"12",2,4,2
"13",2,3,4
"14",4,2,3
"15",2,4,4
"16",3,4,3
"17",4,1,3
"18",3,3,2
"19",3,2,4
"20",2,3,2
"21",4,4,4
"22",2,2,2
"23",3,1,1
"24",4,1,4
"25",4,2,3
"26",1,4,1
"27",3,4,2
"28",4,4,1
"29",4,2,1
"30",3,3,1
"31",4,3,2
"32",1,4,2
"33",4,1,2
"34",2,2,4
"35",4,3,4
"36",2,1,1
"37",2,3,1
"38",2,1,3
"39",1,1,4
"40",2,2,4
"41",3,3,4
"42",4,4,3
"43",2,2,1
"44",3,1,1
"45",1,3,3
"46",3,1,2
"47",3,1,4
"48",1,3,3
"49",4,2,1
"50",4,3,2
"51",1,2,4
"52",1,1,2
