"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",4,3,3,4,3,2,3,4,4,4
"2",1,1,4,4,4,3,3,4,2,2
"3",1,2,2,4,3,4,4,2,2,1
"4",4,3,2,1,2,3,4,4,2,3
"5",4,2,4,2,4,2,2,2,1,4
"6",4,2,4,1,2,2,4,3,3,1
"7",3,3,1,2,3,1,3,1,2,1
"8",2,4,4,3,2,3,1,4,3,3
"9",1,2,4,3,2,1,3,1,4,3
"10",3,2,1,1,3,3,1,1,4,4
"11",4,2,1,3,4,3,4,1,2,2
"12",2,3,1,4,1,2,4,3,4,2
"13",2,3,4,1,4,4,3,1,4,2
"14",4,1,2,1,2,2,2,1,1,2
"15",3,4,3,1,4,4,3,3,1,1
"16",2,2,2,4,2,4,2,4,4,1
"17",4,1,4,2,3,4,1,3,3,2
"18",2,1,3,2,2,4,4,1,1,3
"19",1,1,1,1,4,2,3,3,3,3
"20",3,3,1,3,4,2,1,4,1,2
"21",4,4,3,3,1,1,3,4,2,1
"22",3,1,4,4,1,2,1,2,2,1
"23",1,3,1,4,2,1,2,2,3,4
"24",2,3,3,3,4,4,1,2,2,4
"25",2,4,4,4,3,1,4,2,1,2
"26",4,3,3,4,1,4,2,1,3,2
"27",3,4,4,2,1,2,4,1,3,4
"28",3,2,1,4,1,3,3,3,1,3
"29",1,4,3,1,3,2,1,1,2,3
"30",2,2,3,1,4,1,1,4,3,2
"31",2,4,1,1,1,1,2,2,2,3
"32",1,4,2,3,4,2,2,3,4,1
"33",4,2,2,4,3,1,1,3,1,3
"34",2,1,2,1,3,1,4,3,2,4
"35",3,1,2,2,1,1,3,4,4,2
"36",3,4,4,3,3,4,2,3,4,3
"37",1,3,3,1,1,3,3,2,3,1
"38",1,2,3,3,2,2,4,4,1,4
"39",3,2,4,1,1,4,2,4,2,4
"40",1,4,1,2,3,4,4,4,3,3
"41",3,1,3,4,4,1,2,1,3,3
"42",3,1,3,3,3,3,4,2,4,1
"43",2,4,2,3,1,3,3,1,1,4
"44",4,1,1,3,2,4,3,2,3,4
"45",3,4,2,4,4,3,2,3,2,4
"46",1,3,4,2,2,1,2,3,1,1
"47",2,1,1,2,3,3,2,4,1,1
"48",4,4,1,2,2,3,1,2,4,2
"49",2,2,2,3,2,2,1,1,3,1
"50",4,3,2,2,4,1,4,2,4,3
"51",1,1,3,2,1,3,1,3,4,4
"52",1,3,2,2,1,4,1,2,1,2
