"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",1,1,2,2,3,1,1,1,2,1,2,2,3,1,1,2,1
"2",3,1,1,1,3,1,1,2,2,2,3,1,2,2,3,3,2
"3",3,2,3,1,1,1,2,2,2,3,2,3,3,2,2,1,3
"4",2,3,1,1,1,2,3,1,1,2,1,2,3,2,1,3,3
"5",3,1,3,3,2,3,3,1,3,2,3,1,3,2,2,2,1
"6",2,1,2,1,1,2,1,1,3,3,2,1,1,3,2,2,3
"7",1,3,3,2,3,2,3,2,2,1,3,1,1,2,1,1,3
"8",2,3,3,1,3,2,2,3,1,3,3,2,3,3,3,2,1
"9",2,3,1,3,1,1,2,3,2,1,3,1,3,3,2,3,2
"10",2,1,1,2,1,3,2,2,1,3,3,2,1,1,1,1,2
"11",2,1,3,3,2,1,2,3,3,1,1,3,2,1,1,1,3
"12",3,2,2,2,2,2,2,1,1,1,1,1,2,3,3,1,1
"13",3,3,3,2,1,3,1,3,2,2,1,1,2,1,1,2,2
"14",3,2,1,3,3,1,3,2,3,3,1,2,1,3,1,2,2
"15",3,3,1,3,3,2,2,1,2,2,2,3,1,1,3,2,3
"16",1,2,2,1,1,2,3,2,3,1,3,3,3,1,3,2,2
"17",1,1,2,3,1,2,3,3,2,3,1,2,2,2,3,1,1
"18",2,3,1,1,3,3,1,2,3,1,1,3,2,2,2,1,1
"19",2,2,3,3,1,3,1,2,1,1,2,2,1,2,3,3,1
"20",1,2,1,1,2,1,3,3,1,2,2,1,1,1,2,2,1
"21",1,2,2,3,3,3,2,2,1,3,1,1,3,1,2,3,3
"22",3,1,2,2,3,3,3,3,1,1,2,3,2,3,2,3,3
"23",3,2,2,2,2,2,1,3,3,3,3,3,1,2,1,3,1
"24",1,3,2,3,2,1,1,1,1,2,3,3,2,3,2,1,2
"25",1,2,1,2,2,3,1,3,3,2,2,2,3,3,3,1,3
"26",2,3,3,2,2,1,3,1,3,3,2,2,2,1,3,3,2
"27",1,1,3,1,2,3,2,1,2,2,1,3,1,3,1,3,2
