"","V1","V2"
"1",4,5
"2",3,3
"3",3,1
"4",1,5
"5",2,2
"6",4,2
"7",1,2
"8",5,5
"9",4,1
"10",2,5
"11",2,4
"12",4,2
"13",1,3
"14",2,3
"15",3,2
"16",2,1
"17",3,4
"18",1,1
"19",5,1
"20",2,3
"21",2,2
"22",3,5
"23",4,1
"24",4,4
"25",5,2
"26",5,2
"27",1,3
"28",4,5
"29",5,4
"30",3,4
"31",2,4
"32",5,3
"33",1,5
"34",2,1
"35",3,3
"36",4,3
"37",5,5
"38",5,3
"39",4,4
"40",2,5
"41",1,2
"42",3,5
"43",1,1
"44",4,3
"45",1,4
"46",1,4
"47",3,1
"48",3,2
"49",5,4
"50",5,1
