"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",3,2,1,4,3,2,3,2,2,4,4,3,1,1,4,1,3,2,1
"2",1,4,4,4,2,1,2,2,3,1,1,4,3,3,4,3,3,4,2
"3",4,1,3,2,2,1,4,3,2,1,3,3,2,4,2,4,2,1,1
"4",2,3,1,2,4,2,2,2,3,3,4,4,4,4,1,3,1,1,4
"5",3,4,3,1,2,3,4,1,3,2,1,2,1,2,1,2,4,2,4
"6",4,4,1,2,4,4,3,3,1,2,3,2,4,3,3,1,4,4,2
"7",3,1,4,4,1,3,2,3,4,4,2,1,4,2,2,1,2,1,3
"8",2,3,4,1,1,4,3,4,2,1,4,1,2,1,3,3,1,3,3
"9",4,2,2,3,3,1,1,1,4,2,3,1,3,1,1,2,1,3,2
"10",1,3,2,3,3,2,4,4,4,4,2,2,1,3,3,4,2,4,4
"11",1,1,2,1,4,3,1,4,1,3,1,4,2,2,2,2,3,3,1
"12",2,2,3,3,1,4,1,1,1,3,2,3,3,4,4,4,4,2,3
