"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",3,2,1,2,2,3,1,1,3
"2",3,3,1,3,3,2,3,2,2
"3",3,1,3,3,1,1,1,2,1
"4",1,3,2,2,2,1,1,1,1
"5",3,3,3,1,3,1,1,2,3
"6",2,1,3,1,3,3,3,1,3
"7",2,3,3,3,3,2,2,3,1
"8",3,2,3,1,2,1,2,1,2
"9",2,3,1,2,1,1,2,2,1
"10",3,3,1,1,1,2,2,3,3
"11",1,1,3,2,3,2,1,1,1
"12",1,2,1,3,1,2,1,3,2
"13",2,3,3,3,2,2,1,1,3
"14",2,1,1,1,2,1,1,3,2
"15",2,3,3,1,2,3,3,3,2
"16",2,1,1,2,1,2,3,1,2
"17",1,2,3,3,2,3,2,2,2
"18",3,2,2,2,3,2,1,3,2
"19",3,1,2,3,2,3,2,3,1
"20",2,1,2,3,3,1,3,2,2
"21",3,3,2,2,3,3,2,1,2
"22",2,3,2,2,2,1,3,3,3
"23",1,3,2,1,1,3,1,2,2
"24",2,1,2,3,1,3,1,2,3
"25",1,2,1,3,3,1,2,1,3
"26",1,2,2,1,3,1,3,3,1
"27",1,1,1,2,3,3,2,3,3
"28",1,1,2,1,2,2,2,2,3
"29",1,3,1,3,2,3,3,1,1
"30",3,2,3,2,1,3,3,3,1
"31",1,1,3,2,1,1,2,3,2
"32",1,2,3,2,1,2,3,2,3
"33",2,2,2,1,1,2,2,1,1
"34",3,1,1,1,2,2,3,2,1
"35",3,2,2,3,1,1,3,1,3
"36",2,2,1,1,3,3,1,2,1
