"","V1","V2","V3","V4","V5","V6"
"1",4,4,1,2,3,3
"2",3,2,3,2,4,4
"3",3,4,1,4,3,1
"4",1,2,4,2,4,2
"5",4,3,4,1,3,4
"6",1,3,1,1,4,3
"7",1,2,4,1,3,1
"8",3,1,2,2,1,3
"9",2,3,1,2,2,1
"10",4,1,4,3,2,4
"11",3,3,4,4,1,1
"12",2,2,4,4,1,4
"13",3,1,2,1,3,2
"14",1,4,3,4,3,4
"15",4,1,3,4,4,3
"16",2,1,1,3,4,4
"17",1,4,2,3,1,2
"18",1,3,3,1,1,3
"19",4,2,3,3,2,1
"20",3,4,3,1,4,1
"21",2,2,2,4,4,2
"22",2,4,2,1,2,4
"23",4,3,2,4,2,3
"24",4,2,1,1,1,2
"25",3,4,4,2,2,2
"26",2,1,4,1,2,3
"27",1,1,2,3,3,1
"28",4,4,3,4,1,2
"29",4,3,2,2,4,1
"30",3,3,1,3,1,4
"31",2,1,3,2,1,1
"32",2,4,4,3,4,3
"33",1,1,1,4,2,2
"34",1,2,2,2,2,4
"35",2,3,3,3,3,2
"36",3,2,1,3,3,3
