"","V1","V2","V3"
"1",3,1,1
"2",1,1,1
"3",2,3,1
"4",2,1,2
"5",2,2,1
"6",2,3,2
"7",2,2,3
"8",1,2,2
"9",3,3,3
"10",1,2,1
"11",3,2,2
"12",2,1,3
"13",1,3,2
"14",3,1,2
"15",1,1,3
"16",3,3,1
"17",1,3,3
"18",3,2,3
