"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3,1,2,2,1,1,3,3
"2",2,2,2,3,2,2,2,2
"3",3,3,2,3,2,3,1,3
"4",3,1,3,3,3,3,2,1
"5",2,1,2,3,1,3,1,1
"6",2,3,1,3,1,3,2,2
"7",2,1,1,2,3,1,2,1
"8",1,2,2,2,1,1,2,2
"9",2,2,3,2,3,3,1,2
"10",1,1,3,3,2,1,3,2
"11",3,2,1,3,2,1,1,1
"12",1,1,1,1,1,2,3,1
"13",2,3,1,1,2,2,1,3
"14",3,1,1,3,3,2,3,2
"15",3,2,2,1,3,3,3,3
"16",3,1,3,1,2,2,1,2
"17",2,1,2,2,3,1,1,3
"18",2,2,3,1,2,1,3,1
"19",1,1,2,1,2,2,2,3
"20",2,3,3,3,1,2,3,3
"21",1,2,1,3,1,1,1,3
"22",1,3,2,3,3,2,3,1
"23",2,3,1,1,3,1,3,2
"24",3,3,1,2,3,2,2,3
"25",3,3,2,1,1,1,1,2
"26",3,2,3,2,1,2,3,2
"27",1,1,1,2,2,3,1,2
"28",1,2,2,1,3,2,1,1
"29",1,3,3,2,1,2,1,1
"30",2,1,3,1,1,3,2,3
"31",3,3,3,2,2,1,2,1
"32",1,3,3,1,3,3,2,2
"33",3,2,1,1,1,3,2,1
"34",2,3,2,2,2,3,3,1
"35",1,2,3,3,3,1,2,3
"36",1,2,1,2,2,3,3,3
