"","V1","V2","V3","V4"
"1",1,1,3,3
"2",1,2,2,2
"3",1,1,1,1
"4",2,2,1,3
"5",2,3,3,3
"6",2,3,1,2
"7",3,1,1,2
"8",2,1,3,2
"9",3,1,2,3
"10",1,3,3,1
"11",3,2,3,2
"12",3,3,2,1
"13",2,2,2,1
"14",1,3,2,3
"15",3,2,1,1
