"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",2,3,3,1,2,3,1,2,3,3,1,3,3,3,2,2,2,2
"2",2,1,3,2,2,1,3,2,2,2,1,3,1,1,1,1,1,1
"3",1,2,2,3,3,1,1,2,1,2,2,3,3,3,3,1,2,1
"4",2,3,1,3,2,1,1,3,2,2,3,1,1,2,2,2,3,1
"5",1,3,1,3,1,2,3,3,1,3,1,2,2,1,2,1,2,2
"6",3,3,3,2,3,1,2,3,3,1,2,2,3,2,2,1,2,3
"7",3,2,3,2,1,3,1,3,2,3,2,2,3,1,3,3,3,1
"8",1,1,3,1,1,2,3,1,1,1,2,3,2,2,2,2,3,1
"9",1,3,2,2,2,2,3,2,3,2,3,3,2,1,3,3,3,3
"10",1,2,1,3,2,3,2,1,3,1,1,2,2,3,3,2,1,1
"11",2,1,3,3,2,3,1,1,1,2,3,2,2,2,1,1,3,3
"12",3,1,1,3,2,3,3,2,1,1,2,1,3,2,2,3,1,2
"13",1,2,1,1,1,1,2,2,2,2,1,2,3,3,1,3,3,3
"14",1,2,3,1,3,2,3,3,3,2,3,1,3,2,1,2,1,2
"15",1,1,3,3,3,2,2,1,2,3,1,1,1,2,3,3,2,3
"16",3,1,1,2,1,2,2,2,3,3,3,1,2,3,1,1,2,1
"17",2,3,2,2,3,2,2,1,1,1,1,1,3,1,1,2,3,1
"18",2,1,1,1,3,3,2,3,2,1,3,3,2,1,3,1,2,2
"19",1,3,2,1,1,3,1,2,2,1,2,1,1,1,2,1,1,3
"20",3,2,2,1,2,1,3,1,3,3,2,1,1,2,3,1,3,2
"21",2,1,1,2,3,1,1,1,3,3,2,2,2,1,1,3,1,2
"22",3,3,2,1,3,3,3,1,2,2,3,2,1,3,2,3,2,1
"23",3,1,2,1,2,2,1,3,1,2,1,1,2,3,3,2,1,3
"24",3,2,2,3,1,2,1,3,3,1,1,3,1,2,1,3,2,2
"25",2,2,1,2,3,3,3,3,1,3,2,3,1,3,1,2,3,3
"26",2,3,3,2,1,1,2,2,1,1,3,2,1,3,3,3,1,2
"27",3,2,2,3,1,1,2,1,2,3,3,3,3,1,2,2,1,3
