"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",1,3,3,3,2,3,2,2,2,1,3,3,3
"2",2,3,1,1,2,2,3,2,1,2,1,3,3
"3",1,2,2,2,3,1,2,3,2,3,1,1,3
"4",1,2,3,2,1,3,1,3,1,2,3,2,2
"5",2,2,3,1,3,3,2,1,1,3,2,3,1
"6",1,2,1,3,3,2,1,1,3,2,3,3,2
"7",1,1,3,2,2,1,3,1,3,3,1,2,2
"8",3,2,1,2,2,1,3,2,1,3,3,1,1
"9",2,1,2,3,2,1,1,3,1,1,1,3,2
"10",3,1,1,3,1,3,2,2,2,3,1,2,2
"11",2,1,3,1,3,2,3,3,2,1,3,1,2
"12",1,1,1,1,2,2,1,3,2,3,2,2,1
"13",2,1,2,1,1,1,2,2,3,2,3,3,1
"14",2,3,2,3,1,2,1,1,2,3,3,1,3
"15",3,3,3,3,2,2,2,3,3,2,2,1,1
"16",2,2,1,3,1,1,3,3,3,1,2,2,3
"17",2,3,1,2,3,3,1,2,3,1,1,2,1
"18",3,3,2,2,1,3,3,3,3,3,2,3,2
"19",3,2,3,2,1,2,3,1,2,1,1,3,1
"20",3,2,2,1,2,3,1,1,3,2,1,1,3
"21",1,1,2,3,3,3,3,2,1,2,2,1,1
"22",1,3,1,1,1,1,2,1,1,1,2,1,2
"23",3,1,2,2,3,2,2,1,1,1,3,2,3
"24",3,3,3,1,3,1,1,2,2,2,2,2,3
