"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",2,2,1,3,3,1,3,1,3,2,2,1,1
"2",2,3,3,2,1,1,3,3,2,3,2,2,2
"3",1,1,2,2,3,1,2,1,1,1,1,2,2
"4",1,3,1,1,1,2,2,3,3,1,2,2,3
"5",1,2,3,1,1,3,2,1,2,2,1,3,1
"6",2,3,2,1,3,3,3,3,1,2,2,3,3
"7",3,3,2,2,2,1,3,2,3,1,1,3,1
"8",2,3,1,3,2,2,1,1,1,3,1,3,2
"9",3,1,1,2,1,3,2,2,3,2,3,3,2
"10",3,1,1,1,2,2,3,2,1,3,2,2,1
"11",2,1,3,1,2,1,1,1,3,2,3,2,3
"12",3,3,2,1,3,2,2,1,2,3,3,1,2
"13",1,1,2,3,1,2,3,2,2,2,1,1,3
"14",3,2,2,3,1,1,1,3,1,2,3,2,1
"15",1,2,1,2,3,1,1,2,2,3,3,3,3
"16",1,1,2,2,2,3,1,3,3,3,2,1,1
"17",3,2,3,2,1,2,1,1,1,1,2,1,3
"18",3,2,3,3,3,3,2,2,3,3,1,2,3
"19",2,1,3,3,3,2,2,3,2,1,3,3,1
"20",2,2,1,1,2,3,1,3,2,1,1,1,2
"21",1,3,3,3,2,3,3,2,1,1,3,1,2
