"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,2,1,1,2,1,1,3,3,1
"2",3,2,3,3,2,1,2,1,2,3
"3",2,1,1,2,1,1,2,1,3,3
"4",3,3,2,2,1,1,3,3,3,3
"5",1,3,1,1,3,2,2,1,3,2
"6",2,1,3,3,3,1,3,2,1,3
"7",1,3,2,3,2,2,3,3,2,1
"8",3,2,2,3,3,2,3,1,1,2
"9",3,3,3,2,3,1,1,2,2,1
"10",3,1,2,1,2,1,2,3,1,2
"11",3,1,1,2,1,2,1,3,1,1
"12",1,3,2,2,2,3,1,2,1,3
"13",1,1,1,3,2,3,1,1,1,2
"14",2,2,2,2,3,3,1,1,3,1
"15",2,2,1,1,1,3,3,3,2,2
"16",2,1,2,1,2,2,1,1,2,3
"17",1,2,2,3,1,3,2,2,3,3
"18",3,3,1,1,2,2,3,2,1,3
"19",1,2,1,2,3,2,2,3,2,3
"20",3,3,2,1,1,3,2,1,2,1
"21",3,1,1,3,3,3,2,2,2,1
"22",2,1,2,1,3,2,3,2,3,1
"23",3,2,3,1,1,2,1,2,3,2
"24",2,3,3,3,2,2,2,3,3,1
"25",2,3,3,2,3,3,2,3,1,2
"26",2,2,3,3,1,3,1,3,1,3
"27",1,1,2,3,3,1,1,3,3,2
"28",1,3,3,1,3,3,3,1,2,3
"29",2,3,1,3,1,1,1,2,2,2
"30",3,1,3,2,2,3,3,2,3,2
"31",2,2,1,2,2,1,3,1,1,1
"32",1,2,3,1,1,1,2,2,1,1
"33",1,1,3,2,1,2,3,1,2,2
