"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",1,2,3,3,3,1,1,2,1,2,2,1,1,2,1
"2",1,2,1,1,1,2,1,3,2,3,1,3,3,2,2
"3",3,3,2,1,3,3,1,1,2,2,1,2,1,2,3
"4",1,3,1,1,2,1,2,3,2,1,2,1,1,1,1
"5",3,3,1,2,1,1,3,2,2,3,3,2,3,2,1
"6",2,3,3,1,2,2,1,3,3,3,3,1,2,3,1
"7",1,1,1,2,2,3,3,1,3,3,2,1,1,2,2
"8",2,1,3,3,1,1,3,3,2,2,1,2,2,3,2
"9",1,1,3,1,2,1,2,1,3,2,3,2,3,1,2
"10",2,1,1,1,3,1,2,2,3,3,2,3,2,3,3
"11",2,2,1,3,1,3,2,3,1,3,2,2,1,1,3
"12",3,3,3,3,1,3,2,2,3,1,1,1,2,2,2
"13",2,3,2,3,2,2,3,2,3,2,1,3,1,1,1
"14",1,2,2,1,1,3,3,2,2,2,3,1,1,3,3
"15",1,3,3,2,3,2,3,2,1,3,1,2,2,1,3
"16",2,3,1,3,3,2,2,1,1,2,3,1,3,3,2
"17",3,2,1,3,2,2,3,1,1,1,3,3,2,2,3
"18",2,2,3,1,3,3,3,1,2,1,2,3,3,1,1
"19",3,2,1,2,3,3,1,3,3,2,3,2,2,1,2
"20",3,1,2,1,1,2,2,1,1,2,1,1,2,1,1
"21",2,2,2,2,3,1,3,3,3,1,1,1,3,2,3
"22",1,1,2,3,3,3,2,3,2,3,3,3,2,2,1
"23",2,1,3,2,1,2,1,2,3,1,3,3,1,2,3
"24",1,2,2,3,1,2,1,1,3,1,2,2,3,3,1
"25",1,3,2,2,1,1,1,1,1,1,3,3,2,1,2
"26",3,3,3,2,2,3,2,3,1,2,2,3,3,3,3
"27",3,1,2,1,3,2,3,3,1,1,2,2,1,3,2
"28",3,1,2,3,2,1,1,2,2,3,2,1,3,1,3
"29",3,2,3,2,2,1,2,1,2,3,1,3,1,3,2
"30",2,1,1,2,2,3,1,2,1,1,1,2,3,3,1
