"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",1,2,2,2,3,1,3,3,2,1,1,2
"2",1,2,1,2,2,3,3,1,2,1,3,1
"3",3,3,1,1,2,2,1,3,3,3,1,2
"4",1,2,3,3,2,2,3,2,3,1,3,3
"5",2,1,3,2,3,1,2,1,3,1,2,3
"6",1,2,2,3,2,3,2,3,3,2,1,1
"7",1,3,1,3,2,3,2,1,2,3,2,3
"8",3,2,1,3,1,2,3,2,1,3,1,1
"9",3,1,1,2,2,1,1,3,2,2,2,1
"10",1,1,3,1,1,1,2,2,3,3,1,2
"11",1,2,3,1,3,2,1,3,2,2,1,3
"12",2,3,2,2,3,3,1,2,1,3,1,1
"13",1,1,1,2,1,3,1,2,1,2,2,3
"14",2,3,1,3,1,1,3,3,2,1,1,3
"15",3,1,3,1,2,2,3,2,2,1,2,1
"16",3,3,2,1,2,1,1,2,1,1,3,3
"17",3,2,3,2,1,3,2,3,1,1,3,2
"18",1,1,2,1,2,2,3,3,1,3,2,2
"19",2,1,1,2,1,2,3,1,3,2,1,2
"20",3,3,3,2,2,3,3,2,3,2,1,3
"21",3,1,2,3,2,1,3,1,3,3,3,2
"22",3,2,2,2,3,2,3,1,1,3,2,3
"23",1,3,1,1,3,2,2,3,1,1,2,1
"24",3,2,1,3,3,3,1,2,3,1,2,2
"25",2,3,3,2,2,2,2,3,3,3,3,1
"26",3,1,1,2,3,3,2,3,2,3,3,3
"27",3,3,3,1,1,1,2,1,1,2,2,2
"28",1,3,2,2,1,2,1,1,3,1,2,1
"29",2,1,2,1,1,3,2,2,2,1,1,3
"30",1,3,3,2,3,1,1,2,2,3,3,2
"31",1,1,2,1,3,3,1,1,3,2,3,2
"32",2,3,1,3,3,2,2,2,1,1,3,2
"33",1,1,2,3,1,1,2,2,1,2,3,1
"34",2,2,3,1,1,3,1,1,2,3,2,1
"35",3,2,3,3,1,2,1,1,2,2,3,3
"36",2,2,1,1,2,1,2,1,1,3,1,3
"37",2,3,2,1,1,3,3,3,2,2,3,2
"38",2,2,2,3,1,1,1,3,3,3,2,3
"39",2,1,3,3,2,2,1,1,1,1,1,2
"40",2,1,3,3,3,3,3,3,1,2,2,1
"41",2,2,1,1,3,1,3,2,3,2,3,1
"42",3,3,2,3,3,1,2,1,2,2,1,1
