"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",3,3,1,2,3,3,3,2,1,3,3,1
"2",2,3,3,2,2,1,2,2,1,1,1,3
"3",3,1,3,2,1,1,2,3,2,3,3,2
"4",3,2,1,1,2,2,1,3,1,1,2,2
"5",1,1,1,1,2,2,2,1,2,3,1,1
"6",3,3,1,3,3,1,1,1,2,2,2,3
"7",2,2,1,3,1,2,3,3,3,3,1,3
"8",1,2,3,3,3,3,2,3,1,2,1,2
"9",2,2,3,2,3,2,3,1,2,1,2,1
"10",1,1,2,2,3,2,2,3,3,1,3,3
"11",3,1,3,1,2,3,3,2,3,2,2,3
"12",1,3,3,3,2,2,1,2,3,2,3,1
"13",2,1,2,3,2,1,3,1,1,2,3,2
"14",1,3,2,1,1,1,3,3,2,2,2,1
"15",3,1,2,3,1,3,1,2,2,1,1,1
"16",2,3,1,1,1,3,2,1,3,1,3,2
"17",2,2,2,1,3,1,1,2,3,3,1,2
"18",1,2,2,2,1,3,1,1,1,3,2,3
