"","V1","V2","V3","V4","V5"
"1",3,3,3,2,3
"2",3,2,2,3,3
"3",1,1,3,3,2
"4",3,1,2,1,2
"5",1,3,2,3,3
"6",2,2,3,1,3
"7",1,2,1,3,3
"8",2,3,2,2,2
"9",1,2,3,3,1
"10",2,1,1,3,2
"11",3,2,1,1,2
"12",3,1,3,1,1
"13",3,1,2,3,1
"14",2,3,3,1,1
"15",1,1,1,1,1
"16",2,3,1,2,3
"17",3,3,3,3,2
"18",1,3,2,2,1
"19",1,3,3,1,2
"20",1,1,2,2,2
"21",2,2,2,3,2
"22",1,2,1,2,1
"23",3,3,1,3,1
"24",2,1,2,2,1
"25",3,2,1,2,2
"26",2,2,3,2,2
"27",2,1,3,3,3
"28",2,2,2,1,1
"29",3,3,2,1,3
"30",1,2,2,1,3
"31",3,2,3,2,1
"32",1,3,1,1,2
"33",2,1,1,1,3
"34",1,1,3,2,3
"35",3,1,1,2,3
"36",2,3,1,3,1
