"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",8,4,19,4,9,16,13,9,4,2,9,19,19,4,5,12
"2",2,19,16,6,13,12,17,14,10,20,16,21,3,14,17,14
"3",7,13,3,11,15,3,7,18,18,19,12,17,18,6,6,4
"4",19,18,6,5,8,17,10,7,19,17,6,4,4,9,4,13
"5",9,16,12,2,21,7,2,2,11,8,21,11,15,12,2,20
"6",5,6,9,13,14,19,14,4,3,16,19,3,10,19,7,5
"7",6,10,14,14,17,21,20,16,21,6,2,12,8,8,9,19
"8",4,7,5,3,5,8,12,19,16,5,11,2,14,18,16,17
"9",18,5,10,15,7,5,19,6,20,12,20,20,16,10,20,11
"10",1,3,8,19,6,9,1,13,9,11,3,15,1,13,3,9
"11",13,11,15,9,3,18,4,3,17,1,13,16,5,17,14,3
"12",21,14,21,21,10,13,16,21,14,10,14,10,13,21,1,8
"13",17,17,4,16,16,2,11,10,2,3,8,18,7,20,11,16
"14",3,15,20,12,12,1,9,5,13,9,5,1,9,2,19,7
"15",20,9,11,1,19,15,8,20,1,14,4,14,12,11,21,6
"16",12,20,7,18,11,20,3,15,7,4,17,5,17,7,18,10
"17",11,21,13,8,1,6,21,11,6,13,1,9,21,15,10,1
"18",16,8,18,10,4,4,6,17,5,15,18,7,6,5,8,18
"19",10,12,1,20,2,14,15,1,8,18,10,13,11,1,15,21
"20",15,1,2,7,20,10,18,12,12,7,15,8,2,3,12,2
"21",14,2,17,17,18,11,5,8,15,21,7,6,20,16,13,15
