"","V1","V2","V3","V4","V5","V6","V7"
"1",3,12,6,11,2,13,21
"2",13,11,21,14,21,9,1
"3",4,2,10,4,20,11,15
"4",14,18,20,3,11,16,19
"5",12,21,9,8,9,1,16
"6",11,1,14,15,3,21,12
"7",1,6,18,10,12,17,6
"8",10,8,4,7,17,2,4
"9",15,3,7,19,10,15,3
"10",18,9,17,6,1,12,9
"11",17,19,2,13,4,10,5
"12",8,20,15,20,18,14,10
"13",6,16,12,5,7,19,2
"14",20,7,11,21,8,8,17
"15",19,15,5,9,19,20,13
"16",21,13,13,1,13,5,7
"17",5,14,19,18,5,3,14
"18",9,10,1,17,14,18,18
"19",16,4,16,12,16,4,20
"20",7,5,3,2,6,7,11
"21",2,17,8,16,15,6,8
