"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",1,21,12,9,18,11,3,7,19,2,1,15,13,14,16,12,13,20
"2",4,14,3,19,17,21,13,13,7,13,4,6,17,17,8,20,10,6
"3",8,13,21,2,9,7,12,2,12,14,5,4,18,5,15,7,20,4
"4",19,4,14,6,20,12,10,14,6,3,8,19,19,6,4,10,5,5
"5",20,10,1,1,19,8,14,9,18,9,21,9,2,7,11,21,14,13
"6",3,8,17,5,3,20,16,18,17,10,2,11,4,9,7,4,8,14
"7",11,15,2,15,8,18,7,1,8,8,10,21,5,2,3,8,16,16
"8",7,1,8,11,15,17,1,21,11,7,18,8,7,11,20,9,21,2
"9",16,19,18,12,16,15,19,12,16,17,16,17,9,19,5,6,18,7
"10",18,16,7,7,4,14,15,19,5,18,9,13,20,12,19,16,17,17
"11",17,7,20,14,11,5,6,17,10,6,6,3,8,21,6,17,15,19
"12",14,20,6,17,12,9,20,20,13,1,11,1,12,1,13,5,1,11
"13",12,18,15,4,6,16,9,6,3,5,15,5,3,18,14,15,3,8
"14",15,3,5,13,7,4,17,5,14,12,3,18,6,16,17,13,6,3
"15",21,6,10,20,1,13,4,4,21,11,14,7,21,15,10,1,12,10
"16",6,2,9,8,14,10,21,3,1,20,13,2,11,13,1,11,9,21
"17",2,9,13,18,2,3,18,10,4,4,20,16,14,8,9,14,19,9
"18",13,12,16,21,21,1,8,11,2,21,7,12,1,10,21,2,11,12
"19",9,17,11,10,5,2,2,15,20,19,12,10,10,4,2,19,7,1
"20",5,11,4,3,10,6,5,16,9,15,19,20,15,20,12,3,4,15
"21",10,5,19,16,13,19,11,8,15,16,17,14,16,3,18,18,2,18
