"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",5,2,12,3,12,10,5,18,10,24,11,2,21,16,5,6
"2",15,14,20,9,2,15,9,2,21,2,17,5,2,9,10,5
"3",20,1,7,13,23,1,22,12,11,1,12,19,1,15,20,12
"4",21,5,4,19,6,19,14,3,14,21,4,11,7,17,3,18
"5",16,10,16,4,11,4,7,4,20,11,9,14,23,24,22,25
"6",25,19,14,23,20,9,13,10,24,17,6,1,12,11,24,4
"7",4,11,13,24,18,11,8,6,4,4,18,24,10,20,6,21
"8",22,23,6,21,13,16,6,23,12,5,21,10,22,8,19,19
"9",1,16,10,18,1,7,20,16,17,3,1,8,19,21,16,13
"10",3,24,22,14,19,5,17,19,15,15,10,12,3,6,4,24
"11",9,4,23,12,21,20,2,9,8,7,3,6,15,4,15,17
"12",10,25,18,22,7,25,23,8,9,12,8,18,24,14,9,7
"13",17,20,8,10,17,17,3,20,5,14,2,17,5,25,12,2
"14",11,12,2,1,14,13,25,24,25,6,5,16,11,3,7,10
"15",13,8,11,15,22,24,21,21,22,20,19,4,16,23,11,22
"16",12,15,1,16,25,6,10,1,1,22,15,13,25,5,14,9
"17",7,3,25,17,5,14,11,25,13,13,25,15,8,22,25,8
"18",19,22,21,2,15,12,24,7,7,23,22,9,9,19,17,15
"19",2,6,9,7,16,18,18,5,16,16,20,22,18,7,21,3
"20",23,17,24,6,24,21,12,15,18,8,16,21,20,18,2,11
"21",6,18,3,5,8,22,15,13,2,9,14,3,6,12,23,23
"22",14,13,17,25,10,23,4,17,19,25,13,25,4,1,18,14
"23",8,21,5,11,4,2,1,11,23,19,24,20,14,13,8,16
"24",24,7,19,8,3,8,16,22,3,18,7,23,17,10,13,20
"25",18,9,15,20,9,3,19,14,6,10,23,7,13,2,1,1
