"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",2,1,3,3,1,1,3,1
"2",2,2,4,1,4,4,2,1
"3",4,3,4,4,3,1,4,3
"4",3,3,2,4,1,4,2,4
"5",3,4,1,2,3,1,2,1
"6",2,3,3,1,1,1,1,2
"7",1,1,1,2,1,3,2,3
"8",4,2,2,4,2,2,1,1
"9",3,1,2,1,4,2,4,2
"10",4,2,4,2,1,3,4,2
"11",2,4,1,3,1,2,4,3
"12",3,1,4,3,2,4,1,3
"13",1,3,2,2,2,4,4,1
"14",1,2,3,4,3,3,4,4
"15",1,3,4,2,4,2,3,4
"16",4,1,3,2,3,2,2,4
"17",3,2,1,1,2,1,3,4
"18",1,2,2,3,4,1,1,3
"19",4,4,3,1,2,4,3,3
"20",4,3,1,3,4,3,1,2
"21",2,1,1,4,3,4,3,2
"22",1,4,4,4,2,2,2,2
"23",3,4,3,3,4,3,3,1
"24",2,4,2,1,3,3,1,4
