"","V1","V2"
"1",1,3
"2",2,2
"3",1,1
"4",3,1
"5",2,3
"6",3,1
"7",1,3
"8",2,2
"9",2,2
"10",3,3
"11",2,1
"12",1,2
"13",1,2
"14",3,2
"15",3,3
"16",3,2
"17",2,2
"18",3,3
"19",1,3
"20",2,3
"21",3,2
"22",1,1
"23",1,1
"24",1,1
"25",1,1
"26",3,3
"27",2,2
"28",2,1
"29",2,2
"30",1,2
"31",2,1
"32",3,1
"33",2,3
"34",3,1
"35",3,2
"36",2,3
"37",1,2
"38",1,1
"39",3,3
"40",3,2
"41",1,2
"42",2,3
"43",3,1
"44",2,1
"45",2,1
"46",3,1
"47",1,3
"48",2,2
"49",3,3
"50",1,3
"51",1,3
