"","V1","V2","V3","V4","V5"
"1",2,3,2,1,3
"2",3,2,3,1,2
"3",3,3,2,2,1
"4",3,3,3,1,1
"5",2,2,1,1,3
"6",1,3,1,1,2
"7",1,2,1,1,1
"8",2,2,2,2,2
"9",1,1,2,3,1
"10",2,2,2,3,2
"11",1,3,3,3,1
"12",2,1,1,1,1
"13",2,2,2,2,2
"14",1,1,1,2,1
"15",1,1,1,2,3
"16",3,2,2,1,1
"17",1,2,2,3,3
"18",3,1,1,3,2
"19",1,3,3,2,3
"20",3,1,3,2,1
"21",2,1,3,3,3
"22",2,1,1,3,3
"23",3,2,3,3,3
"24",1,3,2,2,2
"25",1,2,3,1,3
"26",2,2,2,2,2
"27",3,1,2,1,3
"28",2,3,1,2,1
"29",1,1,3,1,2
"30",3,3,2,3,3
"31",2,2,3,3,1
"32",2,3,3,1,2
"33",1,3,1,3,3
"34",2,1,3,1,1
"35",3,1,1,1,2
"36",3,3,3,3,2
"37",2,3,1,3,1
"38",1,3,2,1,1
"39",3,1,2,3,1
"40",3,2,1,2,3
"41",3,3,1,1,3
"42",3,3,1,2,2
"43",1,1,3,3,2
"44",2,2,2,2,2
"45",1,1,2,1,3
"46",2,3,3,2,3
"47",1,2,1,3,2
"48",2,1,2,2,2
"49",3,2,1,3,1
"50",1,2,3,2,1
"51",3,1,3,2,3
