"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",1,2,1,1,1,1,2,4,3,2,2,3,3
"2",1,1,3,4,3,3,1,3,2,2,3,4,4
"3",1,3,1,2,4,3,1,2,2,4,2,1,2
"4",4,2,3,3,4,2,4,1,1,3,2,3,4
"5",1,4,4,1,3,2,4,2,3,2,2,4,1
"6",2,4,4,4,2,1,2,1,1,4,3,3,3
"7",3,3,4,3,4,4,1,4,3,1,1,3,3
"8",4,3,3,1,2,2,1,4,4,4,3,2,2
"9",3,4,1,3,1,2,1,2,3,3,4,4,4
"10",4,2,2,4,1,3,2,2,4,1,2,4,1
"11",2,4,2,2,4,1,3,3,4,1,3,1,4
"12",4,1,1,2,2,4,4,2,3,2,3,1,3
"13",1,2,4,3,2,3,3,2,4,4,1,1,4
"14",4,2,4,3,3,1,2,3,2,2,4,1,1
"15",2,1,2,4,3,2,4,4,3,4,4,2,3
"16",3,3,1,4,3,1,3,1,4,2,1,2,2
"17",2,4,3,4,1,4,3,4,2,3,2,1,1
"18",3,1,3,2,1,1,4,3,2,4,1,4,2
"19",4,4,2,1,3,4,2,3,1,3,1,2,4
"20",2,1,2,2,2,2,1,1,1,1,1,2,1
"21",3,2,1,2,4,3,3,4,1,3,3,4,1
"22",2,1,3,1,4,4,2,1,4,3,4,3,2
"23",3,3,4,1,1,3,3,1,2,1,4,2,3
"24",1,3,2,3,2,4,4,3,1,1,4,3,2
