"","V1","V2","V3","V4","V5"
"1",1,5,3,4,5
"2",5,4,4,5,2
"3",1,2,3,3,2
"4",1,4,2,2,2
"5",3,4,3,4,3
"6",2,5,1,5,2
"7",1,5,4,1,1
"8",4,2,5,5,1
"9",5,1,3,5,4
"10",3,3,4,4,4
"11",1,4,5,3,3
"12",1,1,5,2,4
"13",4,4,1,5,5
"14",5,3,1,4,2
"15",1,3,1,1,4
"16",5,5,5,3,3
"17",4,3,5,2,5
"18",5,4,4,1,4
"19",2,2,3,2,3
"20",3,2,2,1,1
"21",5,3,2,2,5
"22",2,2,1,3,4
"23",4,4,1,2,1
"24",4,3,3,3,4
"25",1,3,2,5,3
"26",2,3,3,5,1
"27",2,1,2,1,5
"28",5,1,3,2,1
"29",2,1,4,4,3
"30",4,5,2,4,4
"31",1,2,4,5,5
"32",3,4,3,1,5
"33",5,2,1,1,3
"34",4,5,3,1,2
"35",3,5,5,5,4
"36",2,4,2,3,4
"37",2,5,4,2,5
"38",4,1,4,3,2
"39",4,2,4,1,3
"40",2,4,5,4,1
"41",4,1,2,5,3
"42",1,1,1,4,1
"43",5,2,5,4,5
"44",3,1,5,2,2
"45",5,5,2,3,1
"46",3,1,1,3,5
"47",2,3,5,1,2
"48",3,5,1,2,3
"49",3,3,4,3,1
"50",3,2,2,4,2
