"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",3,3,4,4,2,2,4,3,1,1,4,1,2,3
"2",4,4,3,2,3,2,3,1,4,1,2,3,1,4
"3",1,3,4,1,3,1,4,3,3,2,1,3,3,4
"4",2,3,1,1,2,1,2,1,1,3,2,4,4,3
"5",1,2,1,3,1,2,1,2,3,1,1,3,3,1
"6",2,4,3,4,4,3,4,2,3,2,3,4,4,1
"7",4,1,3,4,2,2,3,4,2,4,1,2,4,2
"8",1,3,3,1,1,4,3,4,2,1,3,4,2,2
"9",3,1,2,4,3,4,2,1,2,1,4,4,3,2
"10",1,4,2,2,2,3,1,2,1,4,4,3,1,3
"11",2,1,3,1,4,3,2,1,3,4,1,1,2,2
"12",3,2,4,2,4,2,1,4,2,2,1,4,1,3
"13",2,1,4,3,1,1,3,1,1,2,2,2,1,2
"14",1,4,4,3,3,3,2,4,1,3,2,1,3,1
"15",3,4,2,4,1,1,2,3,4,4,2,4,2,2
"16",1,2,2,3,3,2,4,1,4,4,3,1,4,3
"17",3,4,1,1,3,2,1,4,4,2,4,2,3,2
"18",1,2,3,4,4,1,1,2,2,3,4,2,2,4
"19",2,3,1,4,4,4,3,3,4,3,1,2,1,3
"20",4,2,1,1,3,4,4,2,1,2,2,2,2,1
"21",2,1,3,2,2,4,1,3,4,1,2,2,4,4
"22",3,1,1,3,4,3,3,3,1,4,3,4,3,4
"23",4,2,4,1,1,3,3,2,4,3,4,3,4,3
"24",4,3,4,3,2,4,1,1,3,4,3,3,2,1
"25",3,4,2,2,1,4,4,2,2,3,1,1,3,4
"26",4,3,2,2,4,1,2,3,2,1,3,1,4,1
"27",4,2,1,3,1,3,2,4,3,2,3,1,1,4
"28",2,1,2,2,2,1,4,4,3,3,4,3,1,1
