"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,2,2,1,3,5,1,2,3,2,2
"2",2,4,3,5,1,4,1,3,4,4,5
"3",2,3,4,2,1,1,2,5,2,1,3
"4",4,1,5,3,5,3,1,3,4,1,1
"5",3,1,3,2,4,5,3,4,1,5,5
"6",1,2,5,4,3,3,5,5,3,5,4
"7",1,5,5,3,2,4,3,1,1,3,2
"8",4,1,1,3,1,4,5,3,2,2,4
"9",5,2,2,5,2,2,3,5,1,3,1
"10",2,4,3,1,5,2,5,3,2,4,1
"11",5,3,4,4,5,5,2,1,2,4,3
"12",5,5,2,1,4,4,4,5,4,3,3
"13",4,2,4,1,2,2,2,2,5,4,4
"14",3,3,1,2,1,3,4,1,4,5,1
"15",3,5,2,5,4,3,2,2,1,1,4
"16",5,4,5,2,3,1,4,2,3,2,5
"17",4,5,1,4,3,1,1,4,3,5,2
"18",1,3,1,3,5,2,3,4,5,2,5
"19",2,1,3,5,4,1,4,1,5,3,3
"20",3,4,4,4,2,5,5,4,5,1,2
