"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",2,4,2,4,1,3,6,5
"2",2,1,3,6,5,1,5,3
"3",3,2,2,3,3,1,2,5
"4",6,6,1,3,4,6,4,4
"5",5,1,6,4,3,2,2,4
"6",3,6,4,2,3,5,5,1
"7",6,4,6,3,1,4,3,6
"8",3,6,2,1,6,2,3,3
"9",4,6,3,4,2,5,1,5
"10",1,6,4,3,1,4,2,3
"11",6,4,5,4,6,1,3,2
"12",3,1,5,6,1,5,4,4
"13",3,5,4,5,6,4,6,6
"14",2,4,6,1,2,6,5,3
"15",4,5,6,6,5,6,2,3
"16",2,5,5,2,3,1,1,6
"17",1,3,1,3,2,2,4,1
"18",5,6,5,5,2,3,6,2
"19",1,6,6,5,4,2,4,5
"20",5,5,3,2,5,1,6,4
"21",5,3,2,2,1,6,1,2
"22",5,4,2,6,6,4,4,1
"23",4,2,5,3,6,6,5,5
"24",2,4,1,1,5,5,2,5
"25",6,2,1,5,3,5,6,3
"26",4,2,4,1,1,1,4,2
"27",2,2,5,5,2,4,1,1
"28",6,3,4,6,2,2,5,5
"29",6,1,4,2,5,4,1,3
"30",2,2,6,2,6,3,3,2
"31",4,3,6,3,4,2,6,1
"32",3,1,3,4,4,6,3,1
"33",1,3,3,6,3,6,3,6
"34",1,5,2,4,5,5,5,2
"35",5,2,2,5,5,3,2,6
"36",3,4,1,6,4,2,1,2
"37",1,3,4,4,6,3,1,4
"38",1,1,3,1,4,4,6,4
"39",4,5,1,5,1,1,3,4
"40",4,1,1,2,2,3,5,6
"41",6,5,3,1,3,3,2,1
"42",5,3,5,1,4,5,4,6
