"","V1","V2","V3","V4"
"1",2,1,1,2
"2",3,4,3,3
"3",4,4,4,4
"4",2,4,4,1
"5",2,3,3,4
"6",2,1,3,2
"7",3,2,4,3
"8",3,2,2,3
"9",2,3,1,4
"10",1,1,2,3
"11",3,4,1,2
"12",1,2,1,3
"13",2,4,1,3
"14",4,3,1,3
"15",2,2,2,1
"16",3,3,3,4
"17",4,2,2,4
"18",4,1,2,2
"19",1,3,1,1
"20",1,4,3,2
"21",3,1,4,1
"22",4,2,1,1
"23",2,1,4,4
"24",4,4,2,2
"25",2,3,2,1
"26",4,2,4,2
"27",4,3,3,1
"28",1,1,3,1
"29",1,2,4,2
"30",3,1,1,4
"31",1,3,4,3
"32",3,3,4,2
"33",1,2,3,4
"34",1,4,2,4
"35",4,1,3,3
"36",3,4,2,1
