"","V1","V2","V3"
"1",3,2,1
"2",1,2,3
"3",2,2,1
"4",3,2,2
"5",2,3,2
"6",3,1,1
"7",2,3,2
"8",2,3,3
"9",1,3,1
"10",3,2,3
"11",1,2,1
"12",3,2,2
"13",3,1,3
"14",3,3,2
"15",1,2,2
"16",2,1,3
"17",2,1,2
"18",1,1,2
"19",1,3,3
"20",2,3,2
"21",3,3,1
"22",3,2,2
"23",2,1,2
"24",3,1,1
"25",3,1,2
"26",2,2,1
"27",2,3,1
"28",2,2,3
"29",1,1,3
"30",2,2,1
"31",3,3,3
"32",1,2,3
"33",1,1,2
"34",1,3,1
"35",2,1,1
"36",2,1,3
"37",1,2,2
"38",3,1,3
"39",1,3,3
"40",1,1,1
"41",1,1,1
"42",2,2,3
"43",3,3,3
"44",1,3,2
"45",3,3,1
