"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",2,3,1,2,2,3,1,3,2,1,1,3,1,1,1,2,2,1
"2",2,2,3,3,3,2,3,2,3,3,1,3,2,2,3,3,1,1
"3",3,1,1,2,1,2,3,3,1,2,3,1,2,2,1,3,1,2
"4",1,1,3,2,3,3,1,1,2,2,1,1,2,2,2,3,3,3
"5",1,3,1,2,2,1,2,1,1,1,2,2,3,3,2,3,1,1
"6",2,1,3,1,3,1,2,1,1,1,3,3,1,1,2,2,2,2
"7",3,1,3,3,2,3,2,2,1,3,2,2,1,3,2,1,3,1
"8",2,3,2,3,3,2,3,3,2,2,3,3,3,3,1,2,3,3
"9",1,2,3,1,2,3,3,3,2,2,2,1,3,1,3,1,1,2
"10",3,2,2,2,1,3,1,1,2,3,3,3,3,2,2,1,1,3
"11",2,3,2,1,1,2,3,1,3,1,1,1,2,3,1,1,2,2
"12",3,1,2,1,2,1,2,2,3,3,1,2,3,1,1,3,3,2
"13",3,2,1,3,3,1,1,3,3,1,2,2,2,2,3,1,2,3
"14",1,2,1,1,1,2,1,2,3,2,3,2,1,3,3,2,3,1
"15",1,3,2,3,1,1,2,2,1,3,2,1,1,1,3,2,2,3
