"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",3,3,1,1,3,2,3,1,2
"2",3,1,2,1,1,2,1,1,1
"3",2,1,1,2,3,3,3,2,1
"4",1,3,2,3,2,2,3,3,3
"5",3,2,1,2,1,1,3,2,3
"6",2,3,3,2,2,1,1,1,3
"7",2,3,1,3,2,1,2,1,1
"8",1,1,1,3,3,1,1,2,2
"9",2,1,2,3,1,2,3,1,2
"10",3,1,1,3,2,2,2,3,3
"11",1,2,2,1,1,1,3,2,1
"12",3,2,2,3,3,3,1,1,3
"13",1,1,2,2,2,3,1,3,1
"14",1,1,3,2,1,3,2,2,3
"15",2,3,1,1,1,3,1,3,2
"16",3,3,2,2,3,1,2,3,1
"17",1,2,1,1,2,3,2,1,3
"18",3,2,3,1,2,3,3,3,2
"19",2,2,2,2,2,2,2,2,2
"20",1,3,3,1,3,2,1,2,2
"21",1,2,3,2,3,2,3,1,1
"22",2,2,3,3,1,1,1,3,2
"23",3,3,3,3,1,3,2,2,1
"24",2,1,3,1,3,1,2,3,3
