"","V1","V2","V3","V4"
"1",3,4,4,4
"2",5,1,3,3
"3",4,5,1,3
"4",2,4,5,3
"5",1,5,4,3
"6",3,4,1,2
"7",2,3,2,2
"8",1,3,1,1
"9",2,4,3,1
"10",4,1,5,5
"11",4,3,4,1
"12",3,2,3,1
"13",4,2,2,2
"14",4,3,2,4
"15",5,3,5,3
"16",1,3,5,4
"17",5,2,4,4
"18",3,5,2,1
"19",2,2,2,3
"20",4,4,4,2
"21",5,5,5,1
"22",1,5,3,2
"23",5,4,2,2
"24",4,4,3,4
"25",3,2,1,5
"26",2,3,4,5
"27",3,1,5,2
"28",2,2,3,4
"29",2,1,4,2
"30",1,1,3,5
"31",1,4,2,5
"32",5,5,3,5
"33",5,3,1,5
"34",2,5,1,4
"35",1,2,5,1
"36",3,5,5,5
"37",1,1,1,3
"38",3,1,2,4
"39",5,1,1,1
"40",4,2,4,3
