"","V1","V2","V3"
"1",6,2,4
"2",2,2,5
"3",2,5,6
"4",3,3,4
"5",5,5,1
"6",2,6,1
"7",2,1,4
"8",3,4,1
"9",1,3,6
"10",5,3,3
"11",4,1,6
"12",3,6,6
"13",1,2,3
"14",2,4,4
"15",3,2,3
"16",4,5,5
"17",5,4,4
"18",6,3,2
"19",1,1,5
"20",3,5,1
"21",6,1,3
"22",6,6,2
"23",5,1,5
"24",4,1,4
"25",4,6,2
"26",4,3,2
"27",1,5,4
"28",6,4,1
"29",2,3,3
"30",4,3,5
"31",1,3,1
"32",4,2,1
"33",2,6,5
"34",6,4,6
"35",1,4,6
"36",2,4,2
"37",1,6,3
"38",1,2,2
"39",3,4,5
"40",5,1,2
"41",5,5,6
"42",6,6,5
"43",5,3,5
"44",4,4,3
"45",3,5,3
"46",3,2,6
"47",3,1,2
"48",5,2,1
"49",1,5,2
"50",6,2,6
"51",2,1,1
"52",6,5,4
"53",4,6,4
"54",5,6,3
