"","V1","V2","V3","V4"
"1",1,5,3,2
"2",4,3,3,4
"3",3,2,5,1
"4",4,1,1,1
"5",3,4,4,2
"6",1,2,4,1
"7",3,2,2,4
"8",3,3,2,4
"9",5,1,5,2
"10",2,2,3,3
"11",1,3,2,4
"12",5,3,4,1
"13",4,5,2,3
"14",2,3,4,3
"15",3,4,4,4
"16",3,5,1,2
"17",2,3,5,5
"18",4,1,4,3
"19",2,1,3,1
"20",3,1,4,5
"21",2,5,5,1
"22",1,1,2,2
"23",2,1,1,3
"24",1,5,4,5
"25",1,1,5,4
"26",2,5,1,4
"27",4,4,3,1
"28",2,3,2,2
"29",5,5,2,1
"30",4,5,3,5
"31",5,4,1,5
"32",4,2,5,5
"33",5,1,2,5
"34",4,3,1,2
"35",5,4,4,3
"36",1,4,1,1
"37",3,2,3,2
"38",4,3,5,2
"39",1,2,1,5
"40",5,2,1,3
"41",5,5,5,4
"42",2,4,3,5
"43",1,4,5,3
"44",3,4,2,3
"45",5,2,3,4
