"","V1","V2","V3"
"1",2,2,3
"2",4,4,4
"3",1,3,1
"4",4,3,3
"5",3,3,4
"6",4,4,2
"7",2,1,3
"8",2,2,4
"9",3,1,2
"10",3,1,4
"11",2,2,3
"12",1,4,1
"13",4,3,3
"14",3,2,3
"15",2,2,1
"16",1,1,1
"17",1,4,3
"18",1,2,2
"19",1,1,2
"20",2,4,3
"21",1,2,3
"22",3,2,1
"23",2,3,2
"24",3,4,1
"25",4,1,1
"26",3,3,2
"27",2,3,4
"28",4,2,2
"29",3,4,3
"30",2,1,2
"31",2,4,2
"32",3,2,2
"33",1,3,2
"34",3,1,1
"35",4,4,1
"36",1,3,4
"37",4,2,4
"38",4,1,4
"39",1,4,4
"40",3,4,4
"41",4,3,1
"42",4,1,3
"43",2,3,1
"44",1,1,4
