"","V1","V2","V3","V4"
"1",1,3,3,1
"2",3,2,2,3
"3",3,2,1,3
"4",3,1,2,3
"5",2,3,3,1
"6",3,2,1,1
"7",3,1,1,1
"8",2,3,1,2
"9",1,3,2,3
"10",1,3,3,2
"11",3,1,2,2
"12",1,1,3,1
"13",2,2,2,2
"14",1,2,2,1
"15",2,1,1,3
"16",1,3,1,1
"17",3,1,3,1
"18",3,3,3,3
"19",2,2,2,2
"20",1,1,1,3
"21",2,3,2,3
"22",1,2,3,3
"23",3,3,1,3
"24",1,2,1,2
"25",2,2,2,2
"26",1,1,1,2
"27",1,1,2,1
"28",2,2,3,1
"29",2,1,3,2
"30",2,1,1,1
"31",3,2,3,1
"32",1,3,2,2
"33",2,3,3,3
"34",2,1,3,3
"35",1,2,1,1
"36",2,3,1,1
"37",3,3,2,1
"38",3,2,3,2
"39",2,2,2,2
"40",2,2,1,3
"41",1,1,2,3
"42",3,3,3,2
"43",3,1,3,3
"44",3,1,1,2
"45",1,1,3,2
"46",2,2,2,2
"47",2,1,2,1
"48",3,3,2,1
"49",1,3,1,3
"50",3,3,1,2
"51",1,2,3,3
